,Biomass,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Wind Onshore
2017-12-31 23:00:00+00:00,340.0,364.0,270.0,377.0,262.0,46.0,41.0,0.0,1502.0
2018-01-01 00:00:00+00:00,218.0,380.0,270.0,369.0,279.0,79.0,152.0,0.0,1603.0
2018-01-01 01:00:00+00:00,221.0,381.0,271.0,339.0,248.0,79.0,153.0,0.0,1559.0
2018-01-01 02:00:00+00:00,216.0,381.0,270.0,602.0,179.0,119.0,153.0,0.0,1543.0
2018-01-01 03:00:00+00:00,215.0,381.0,270.0,273.0,172.0,67.0,153.0,0.0,1797.0
2018-01-01 04:00:00+00:00,212.0,380.0,270.0,48.0,168.0,67.0,153.0,0.0,2014.0
2018-01-01 05:00:00+00:00,213.0,380.0,270.0,0.0,158.0,67.0,153.0,0.0,2454.0
2018-01-01 06:00:00+00:00,215.0,381.0,270.0,0.0,160.0,70.0,154.0,0.0,2869.0
2018-01-01 07:00:00+00:00,212.0,380.0,271.0,0.0,158.0,70.0,155.0,0.0,3116.0
2018-01-01 08:00:00+00:00,213.0,379.0,270.0,0.0,189.0,73.0,155.0,41.0,3058.0
2018-01-01 09:00:00+00:00,215.0,378.0,270.0,0.0,204.0,127.0,157.0,147.0,3120.0
2018-01-01 10:00:00+00:00,214.0,377.0,270.0,0.0,217.0,113.0,156.0,229.0,3305.0
2018-01-01 11:00:00+00:00,217.0,374.0,271.0,0.0,218.0,113.0,149.0,259.0,3336.0
2018-01-01 12:00:00+00:00,217.0,373.0,270.0,0.0,240.0,66.0,152.0,256.0,3362.0
2018-01-01 13:00:00+00:00,216.0,371.0,271.0,0.0,200.0,61.0,149.0,223.0,3323.0
2018-01-01 14:00:00+00:00,222.0,371.0,270.0,0.0,199.0,66.0,154.0,202.0,3264.0
2018-01-01 15:00:00+00:00,219.0,371.0,270.0,0.0,197.0,66.0,151.0,138.0,3015.0
2018-01-01 16:00:00+00:00,216.0,373.0,270.0,74.0,197.0,66.0,144.0,55.0,2839.0
2018-01-01 17:00:00+00:00,215.0,374.0,270.0,119.0,223.0,102.0,149.0,1.0,2678.0
2018-01-01 18:00:00+00:00,219.0,376.0,270.0,351.0,219.0,113.0,151.0,0.0,2696.0
2018-01-01 19:00:00+00:00,218.0,379.0,270.0,424.0,215.0,117.0,153.0,0.0,2617.0
2018-01-01 20:00:00+00:00,218.0,379.0,270.0,328.0,220.0,81.0,153.0,0.0,2589.0
2018-01-01 21:00:00+00:00,215.0,379.0,270.0,412.0,207.0,46.0,150.0,0.0,2613.0
2018-01-01 22:00:00+00:00,216.0,383.0,270.0,338.0,136.0,46.0,152.0,0.0,2730.0
2018-01-01 23:00:00+00:00,214.0,386.0,270.0,107.0,241.0,46.0,153.0,0.0,2778.0
2018-01-02 00:00:00+00:00,213.0,387.0,270.0,165.0,274.0,75.0,151.0,0.0,2856.0
2018-01-02 01:00:00+00:00,211.0,388.0,270.0,0.0,165.0,69.0,150.0,0.0,2825.0
2018-01-02 02:00:00+00:00,208.0,388.0,270.0,0.0,132.0,66.0,146.0,0.0,2718.0
2018-01-02 03:00:00+00:00,209.0,386.0,289.0,0.0,132.0,39.0,148.0,0.0,2554.0
2018-01-02 04:00:00+00:00,205.0,387.0,340.0,0.0,123.0,39.0,149.0,0.0,2395.0
2018-01-02 05:00:00+00:00,202.0,389.0,445.0,74.0,170.0,40.0,148.0,0.0,2260.0
2018-01-02 06:00:00+00:00,202.0,400.0,846.0,28.0,383.0,85.0,150.0,0.0,2414.0
2018-01-02 07:00:00+00:00,201.0,582.0,1330.0,991.0,448.0,109.0,151.0,0.0,2588.0
2018-01-02 08:00:00+00:00,203.0,736.0,1257.0,1205.0,445.0,169.0,149.0,42.0,2724.0
2018-01-02 09:00:00+00:00,204.0,861.0,1082.0,1400.0,420.0,251.0,148.0,145.0,2945.0
2018-01-02 10:00:00+00:00,202.0,911.0,1081.0,1225.0,375.0,233.0,147.0,208.0,2883.0
2018-01-02 11:00:00+00:00,202.0,912.0,1082.0,1105.0,358.0,206.0,148.0,245.0,2785.0
2018-01-02 12:00:00+00:00,202.0,908.0,1082.0,1092.0,322.0,173.0,149.0,239.0,2801.0
2018-01-02 13:00:00+00:00,203.0,909.0,1082.0,892.0,211.0,107.0,150.0,191.0,2688.0
2018-01-02 14:00:00+00:00,201.0,848.0,1077.0,591.0,222.0,62.0,148.0,155.0,2479.0
2018-01-02 15:00:00+00:00,209.0,853.0,1100.0,559.0,233.0,87.0,150.0,104.0,2319.0
2018-01-02 16:00:00+00:00,214.0,914.0,1250.0,1262.0,244.0,102.0,154.0,29.0,2225.0
2018-01-02 17:00:00+00:00,212.0,918.0,1280.0,1466.0,268.0,132.0,157.0,1.0,2183.0
2018-01-02 18:00:00+00:00,213.0,923.0,1280.0,1666.0,323.0,144.0,158.0,0.0,2190.0
2018-01-02 19:00:00+00:00,212.0,926.0,1280.0,1629.0,449.0,353.0,156.0,0.0,2290.0
2018-01-02 20:00:00+00:00,211.0,925.0,1281.0,1384.0,443.0,131.0,156.0,0.0,2349.0
2018-01-02 21:00:00+00:00,212.0,911.0,1203.0,1331.0,414.0,103.0,156.0,0.0,2356.0
2018-01-02 22:00:00+00:00,213.0,780.0,905.0,726.0,237.0,13.0,158.0,0.0,2351.0
2018-01-02 23:00:00+00:00,206.0,572.0,932.0,198.0,199.0,66.0,156.0,0.0,2399.0
2018-01-03 00:00:00+00:00,209.0,404.0,1084.0,256.0,200.0,68.0,154.0,0.0,2572.0
2018-01-03 01:00:00+00:00,209.0,394.0,1033.0,69.0,208.0,68.0,156.0,0.0,2615.0
2018-01-03 02:00:00+00:00,213.0,395.0,1041.0,0.0,249.0,68.0,156.0,0.0,2576.0
2018-01-03 03:00:00+00:00,209.0,395.0,1080.0,0.0,267.0,70.0,156.0,0.0,2342.0
2018-01-03 04:00:00+00:00,211.0,395.0,1074.0,1.0,339.0,71.0,155.0,0.0,2020.0
2018-01-03 05:00:00+00:00,207.0,395.0,1098.0,70.0,255.0,68.0,152.0,0.0,1776.0
2018-01-03 06:00:00+00:00,205.0,456.0,1247.0,235.0,270.0,62.0,151.0,0.0,1535.0
2018-01-03 07:00:00+00:00,198.0,749.0,1532.0,1567.0,393.0,91.0,150.0,0.0,1405.0
2018-01-03 08:00:00+00:00,202.0,957.0,1708.0,1571.0,503.0,177.0,147.0,13.0,1496.0
2018-01-03 09:00:00+00:00,205.0,1010.0,1687.0,1623.0,554.0,308.0,135.0,64.0,1588.0
2018-01-03 10:00:00+00:00,202.0,1012.0,1547.0,1421.0,605.0,295.0,129.0,91.0,1694.0
