,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
2018-01-01 01:00:00+02:00,28.0,1743.0,323.0,68.0,0.0,100.0,9.0,2107.0,0.0,4.0,255.0
2018-01-01 02:00:00+02:00,28.0,1696.0,322.0,69.0,0.0,96.0,9.0,2105.0,0.0,4.0,225.0
2018-01-01 03:00:00+02:00,27.0,1687.0,320.0,69.0,0.0,94.0,9.0,2104.0,0.0,4.0,216.0
2018-01-01 04:00:00+02:00,28.0,1694.0,320.0,69.0,0.0,96.0,9.0,2105.0,0.0,4.0,214.0
2018-01-01 05:00:00+02:00,28.0,1694.0,321.0,68.0,0.0,99.0,9.0,2107.0,0.0,4.0,213.0
2018-01-01 06:00:00+02:00,28.0,1701.0,333.0,68.0,0.0,118.0,9.0,2106.0,0.0,4.0,193.0
2018-01-01 07:00:00+02:00,28.0,1729.0,330.0,68.0,0.0,132.0,9.0,2107.0,0.0,3.0,116.0
2018-01-01 08:00:00+02:00,29.0,1701.0,327.0,68.0,0.0,156.0,9.0,2109.0,77.0,3.0,93.0
2018-01-01 09:00:00+02:00,29.0,1741.0,327.0,68.0,0.0,162.0,9.0,2107.0,298.0,4.0,45.0
2018-01-01 10:00:00+02:00,30.0,1750.0,326.0,68.0,0.0,162.0,9.0,2108.0,508.0,4.0,13.0
2018-01-01 11:00:00+02:00,29.0,1713.0,322.0,67.0,0.0,164.0,9.0,2107.0,615.0,4.0,3.0
2018-01-01 12:00:00+02:00,30.0,1711.0,321.0,68.0,0.0,158.0,9.0,2107.0,635.0,4.0,1.0
2018-01-01 13:00:00+02:00,29.0,1714.0,321.0,69.0,0.0,132.0,9.0,2109.0,574.0,4.0,1.0
2018-01-01 14:00:00+02:00,29.0,1710.0,322.0,69.0,0.0,122.0,9.0,2110.0,431.0,4.0,1.0
2018-01-01 15:00:00+02:00,29.0,1697.0,323.0,69.0,0.0,119.0,9.0,2108.0,219.0,4.0,4.0
2018-01-01 16:00:00+02:00,30.0,1698.0,318.0,70.0,0.0,121.0,16.0,2107.0,33.0,4.0,16.0
2018-01-01 17:00:00+02:00,30.0,1701.0,322.0,70.0,510.0,139.0,88.0,2106.0,0.0,4.0,33.0
2018-01-01 18:00:00+02:00,30.0,1705.0,326.0,68.0,667.0,153.0,250.0,2105.0,0.0,4.0,46.0
2018-01-01 19:00:00+02:00,30.0,1699.0,326.0,67.0,641.0,157.0,201.0,2107.0,0.0,4.0,62.0
2018-01-01 20:00:00+02:00,30.0,1699.0,328.0,68.0,502.0,154.0,191.0,2110.0,0.0,4.0,86.0
2018-01-01 21:00:00+02:00,30.0,1702.0,328.0,68.0,311.0,142.0,191.0,2108.0,0.0,4.0,92.0
2018-01-01 22:00:00+02:00,31.0,1698.0,331.0,69.0,207.0,122.0,191.0,2106.0,0.0,4.0,68.0
2018-01-01 23:00:00+02:00,31.0,1697.0,325.0,67.0,125.0,105.0,101.0,2107.0,0.0,4.0,73.0
2018-01-02 00:00:00+02:00,30.0,1700.0,325.0,68.0,0.0,95.0,9.0,2106.0,0.0,4.0,91.0
2018-01-02 01:00:00+02:00,30.0,1713.0,326.0,68.0,0.0,94.0,9.0,2108.0,0.0,4.0,93.0
2018-01-02 02:00:00+02:00,29.0,1694.0,327.0,68.0,0.0,91.0,9.0,2109.0,0.0,4.0,114.0
2018-01-02 03:00:00+02:00,29.0,1728.0,326.0,70.0,0.0,91.0,9.0,2109.0,0.0,4.0,109.0
2018-01-02 04:00:00+02:00,29.0,1720.0,329.0,69.0,0.0,89.0,9.0,2106.0,0.0,4.0,126.0
2018-01-02 05:00:00+02:00,28.0,1803.0,323.0,71.0,0.0,94.0,9.0,2107.0,0.0,4.0,140.0
2018-01-02 06:00:00+02:00,28.0,1839.0,330.0,70.0,0.0,114.0,9.0,2109.0,0.0,4.0,144.0
2018-01-02 07:00:00+02:00,29.0,1941.0,330.0,69.0,0.0,139.0,22.0,2107.0,0.0,4.0,185.0
2018-01-02 08:00:00+02:00,28.0,2092.0,302.0,69.0,0.0,147.0,153.0,2107.0,12.0,4.0,248.0
2018-01-02 09:00:00+02:00,29.0,2314.0,266.0,67.0,0.0,156.0,188.0,2108.0,71.0,4.0,315.0
2018-01-02 10:00:00+02:00,28.0,2356.0,263.0,67.0,0.0,154.0,129.0,2110.0,148.0,5.0,321.0
2018-01-02 11:00:00+02:00,28.0,2339.0,261.0,68.0,0.0,149.0,9.0,2110.0,202.0,5.0,301.0
2018-01-02 12:00:00+02:00,28.0,2173.0,262.0,68.0,0.0,144.0,9.0,2108.0,260.0,5.0,291.0
2018-01-02 13:00:00+02:00,27.0,2017.0,287.0,69.0,0.0,147.0,9.0,2109.0,299.0,5.0,303.0
2018-01-02 14:00:00+02:00,27.0,1961.0,290.0,70.0,0.0,148.0,9.0,2108.0,242.0,5.0,286.0
2018-01-02 15:00:00+02:00,27.0,2141.0,301.0,70.0,0.0,143.0,85.0,2108.0,129.0,4.0,199.0
2018-01-02 16:00:00+02:00,28.0,2344.0,304.0,70.0,0.0,139.0,210.0,2104.0,17.0,3.0,123.0
2018-01-02 17:00:00+02:00,28.0,2453.0,311.0,70.0,199.0,127.0,321.0,2104.0,0.0,3.0,126.0
2018-01-02 18:00:00+02:00,27.0,2322.0,308.0,70.0,398.0,123.0,522.0,2107.0,0.0,5.0,79.0
2018-01-02 19:00:00+02:00,28.0,2301.0,308.0,69.0,400.0,138.0,514.0,2109.0,0.0,4.0,69.0
2018-01-02 20:00:00+02:00,28.0,2334.0,307.0,68.0,301.0,154.0,403.0,2107.0,0.0,4.0,70.0
2018-01-02 21:00:00+02:00,27.0,2285.0,324.0,68.0,301.0,156.0,250.0,2108.0,0.0,4.0,82.0
2018-01-02 22:00:00+02:00,27.0,2268.0,334.0,69.0,200.0,154.0,228.0,2107.0,0.0,4.0,111.0
2018-01-02 23:00:00+02:00,27.0,2119.0,324.0,69.0,0.0,139.0,229.0,2105.0,0.0,4.0,123.0
2018-01-03 00:00:00+02:00,28.0,1919.0,315.0,69.0,0.0,101.0,9.0,2105.0,0.0,4.0,161.0
2018-01-03 01:00:00+02:00,28.0,1849.0,318.0,69.0,0.0,101.0,9.0,2105.0,0.0,4.0,141.0
2018-01-03 02:00:00+02:00,28.0,1855.0,317.0,69.0,0.0,99.0,9.0,2105.0,0.0,4.0,143.0
2018-01-03 03:00:00+02:00,28.0,1850.0,316.0,69.0,0.0,98.0,9.0,2104.0,0.0,4.0,178.0
2018-01-03 04:00:00+02:00,28.0,1910.0,316.0,68.0,0.0,96.0,9.0,2107.0,0.0,4.0,202.0
2018-01-03 05:00:00+02:00,28.0,1862.0,308.0,70.0,0.0,96.0,9.0,2105.0,0.0,4.0,236.0
2018-01-03 06:00:00+02:00,27.0,1979.0,316.0,70.0,0.0,112.0,9.0,2104.0,0.0,4.0,114.0
2018-01-03 07:00:00+02:00,28.0,2254.0,315.0,70.0,0.0,125.0,170.0,2108.0,0.0,4.0,77.0
2018-01-03 08:00:00+02:00,28.0,2360.0,316.0,70.0,0.0,152.0,368.0,2107.0,13.0,4.0,76.0
2018-01-03 09:00:00+02:00,29.0,2528.0,312.0,70.0,0.0,157.0,317.0,2106.0,78.0,4.0,89.0
