,Biomass,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Wind Onshore
2018-12-31 23:00:00+00:00,222.0,855.0,1612.0,571.0,799.0,274.0,129.0,0.0,597.0
2019-01-01 00:00:00+00:00,320.0,434.0,1472.0,345.0,655.0,283.0,22.0,0.0,543.0
2019-01-01 01:00:00+00:00,320.0,427.0,1470.0,243.0,492.0,303.0,21.0,0.0,441.0
2019-01-01 02:00:00+00:00,331.0,428.0,1470.0,0.0,421.0,294.0,25.0,0.0,367.0
2019-01-01 03:00:00+00:00,339.0,429.0,1407.0,0.0,116.0,220.0,29.0,0.0,346.0
2019-01-01 04:00:00+00:00,335.0,430.0,1289.0,0.0,114.0,130.0,31.0,0.0,413.0
2019-01-01 05:00:00+00:00,336.0,432.0,1289.0,0.0,120.0,113.0,30.0,0.0,449.0
2019-01-01 06:00:00+00:00,331.0,446.0,1433.0,0.0,220.0,112.0,29.0,0.0,404.0
2019-01-01 07:00:00+00:00,324.0,560.0,1469.0,0.0,187.0,112.0,29.0,0.0,405.0
2019-01-01 08:00:00+00:00,332.0,888.0,1456.0,0.0,194.0,112.0,31.0,53.0,373.0
2019-01-01 09:00:00+00:00,326.0,1094.0,1432.0,0.0,219.0,181.0,28.0,196.0,341.0
2019-01-01 10:00:00+00:00,330.0,1153.0,1430.0,0.0,219.0,175.0,28.0,303.0,304.0
2019-01-01 11:00:00+00:00,334.0,1077.0,1381.0,0.0,226.0,181.0,29.0,348.0,223.0
2019-01-01 12:00:00+00:00,335.0,1170.0,1427.0,0.0,623.0,125.0,31.0,358.0,149.0
2019-01-01 13:00:00+00:00,340.0,1189.0,1471.0,0.0,458.0,101.0,32.0,351.0,97.0
2019-01-01 14:00:00+00:00,339.0,1146.0,1329.0,0.0,248.0,62.0,31.0,310.0,82.0
2019-01-01 15:00:00+00:00,330.0,1156.0,1315.0,0.0,238.0,63.0,30.0,235.0,104.0
2019-01-01 16:00:00+00:00,333.0,1262.0,1470.0,14.0,255.0,144.0,32.0,87.0,164.0
2019-01-01 17:00:00+00:00,334.0,1382.0,1490.0,783.0,443.0,302.0,32.0,1.0,253.0
2019-01-01 18:00:00+00:00,334.0,1384.0,1624.0,1112.0,733.0,478.0,31.0,0.0,272.0
2019-01-01 19:00:00+00:00,337.0,1386.0,1717.0,1107.0,847.0,770.0,31.0,0.0,285.0
2019-01-01 20:00:00+00:00,340.0,1378.0,1748.0,1406.0,854.0,875.0,32.0,0.0,308.0
2019-01-01 21:00:00+00:00,337.0,1392.0,1661.0,1100.0,713.0,406.0,31.0,0.0,398.0
2019-01-01 22:00:00+00:00,333.0,1190.0,1636.0,107.0,377.0,148.0,31.0,0.0,449.0
2019-01-01 23:00:00+00:00,335.0,946.0,1566.0,0.0,283.0,112.0,31.0,0.0,535.0
2019-01-02 00:00:00+00:00,333.0,626.0,1366.0,0.0,110.0,112.0,32.0,0.0,785.0
2019-01-02 01:00:00+00:00,331.0,641.0,1303.0,0.0,99.0,70.0,32.0,0.0,951.0
2019-01-02 02:00:00+00:00,328.0,666.0,1140.0,0.0,111.0,62.0,31.0,0.0,976.0
2019-01-02 03:00:00+00:00,328.0,671.0,1140.0,0.0,116.0,62.0,29.0,0.0,1074.0
2019-01-02 04:00:00+00:00,322.0,727.0,1139.0,0.0,116.0,62.0,31.0,0.0,1071.0
2019-01-02 05:00:00+00:00,314.0,808.0,1140.0,0.0,117.0,62.0,28.0,0.0,1106.0
2019-01-02 06:00:00+00:00,320.0,940.0,1271.0,0.0,109.0,92.0,28.0,0.0,1047.0
2019-01-02 07:00:00+00:00,323.0,1363.0,1604.0,55.0,375.0,232.0,28.0,0.0,866.0
2019-01-02 08:00:00+00:00,318.0,1618.0,1740.0,269.0,691.0,337.0,24.0,56.0,697.0
2019-01-02 09:00:00+00:00,316.0,1634.0,1756.0,371.0,956.0,419.0,21.0,198.0,574.0
2019-01-02 10:00:00+00:00,319.0,1600.0,1757.0,145.0,785.0,370.0,20.0,297.0,529.0
2019-01-02 11:00:00+00:00,320.0,1668.0,1757.0,89.0,612.0,286.0,20.0,352.0,445.0
2019-01-02 12:00:00+00:00,325.0,1670.0,1757.0,38.0,580.0,191.0,20.0,370.0,436.0
2019-01-02 13:00:00+00:00,324.0,1631.0,1756.0,0.0,489.0,112.0,21.0,362.0,452.0
2019-01-02 14:00:00+00:00,322.0,1612.0,1756.0,0.0,381.0,112.0,22.0,326.0,514.0
2019-01-02 15:00:00+00:00,325.0,1629.0,1756.0,33.0,582.0,112.0,22.0,239.0,555.0
2019-01-02 16:00:00+00:00,328.0,1674.0,1756.0,1418.0,826.0,192.0,22.0,89.0,675.0
2019-01-02 17:00:00+00:00,322.0,1650.0,1756.0,1712.0,1413.0,142.0,24.0,2.0,977.0
2019-01-02 18:00:00+00:00,324.0,1603.0,1756.0,1592.0,1375.0,180.0,24.0,0.0,1470.0
2019-01-02 19:00:00+00:00,326.0,1631.0,1756.0,1398.0,1216.0,203.0,24.0,0.0,1894.0
2019-01-02 20:00:00+00:00,324.0,1639.0,1757.0,1307.0,1165.0,203.0,24.0,0.0,2271.0
2019-01-02 21:00:00+00:00,327.0,1614.0,1758.0,761.0,1030.0,139.0,24.0,0.0,2453.0
2019-01-02 22:00:00+00:00,327.0,1596.0,1757.0,288.0,644.0,132.0,23.0,0.0,2619.0
2019-01-02 23:00:00+00:00,326.0,1375.0,1757.0,164.0,376.0,112.0,23.0,0.0,2589.0
2019-01-03 00:00:00+00:00,330.0,942.0,1587.0,0.0,225.0,65.0,24.0,0.0,2509.0
2019-01-03 01:00:00+00:00,326.0,944.0,1268.0,0.0,138.0,62.0,23.0,0.0,2391.0
2019-01-03 02:00:00+00:00,325.0,965.0,1179.0,0.0,96.0,62.0,23.0,0.0,2329.0
2019-01-03 03:00:00+00:00,330.0,959.0,1233.0,0.0,98.0,62.0,23.0,0.0,2273.0
2019-01-03 04:00:00+00:00,329.0,1037.0,1480.0,12.0,155.0,62.0,22.0,0.0,2155.0
2019-01-03 05:00:00+00:00,329.0,1191.0,1709.0,62.0,214.0,72.0,21.0,0.0,2109.0
2019-01-03 06:00:00+00:00,325.0,1727.0,1758.0,708.0,405.0,392.0,21.0,0.0,2233.0
2019-01-03 07:00:00+00:00,321.0,2240.0,1758.0,1033.0,826.0,420.0,23.0,0.0,2393.0
2019-01-03 08:00:00+00:00,321.0,2592.0,1758.0,1577.0,964.0,452.0,22.0,28.0,2509.0
2019-01-03 09:00:00+00:00,325.0,2710.0,1757.0,1548.0,1207.0,522.0,22.0,108.0,2466.0
2019-01-03 10:00:00+00:00,332.0,2716.0,1710.0,1161.0,1191.0,449.0,24.0,176.0,2246.0
2019-01-03 11:00:00+00:00,332.0,2705.0,1672.0,923.0,1188.0,366.0,24.0,223.0,1789.0
2019-01-03 12:00:00+00:00,336.0,2648.0,1710.0,852.0,1299.0,213.0,24.0,227.0,1277.0
2019-01-03 13:00:00+00:00,335.0,2678.0,1734.0,884.0,1239.0,213.0,24.0,231.0,891.0
2019-01-03 14:00:00+00:00,327.0,2599.0,1754.0,772.0,1185.0,207.0,24.0,216.0,638.0
2019-01-03 15:00:00+00:00,331.0,2737.0,1757.0,1202.0,1090.0,628.0,25.0,149.0,613.0
2019-01-03 16:00:00+00:00,324.0,2700.0,1757.0,1739.0,1370.0,734.0,24.0,54.0,803.0
2019-01-03 17:00:00+00:00,331.0,2636.0,1757.0,1844.0,1701.0,893.0,24.0,1.0,1167.0
2019-01-03 18:00:00+00:00,332.0,3067.0,1759.0,1802.0,1579.0,795.0,25.0,0.0,1514.0
2019-01-03 19:00:00+00:00,333.0,3000.0,1758.0,1147.0,1535.0,458.0,24.0,0.0,1846.0
2019-01-03 20:00:00+00:00,336.0,3006.0,1758.0,1236.0,1516.0,432.0,22.0,0.0,1979.0
2019-01-03 21:00:00+00:00,330.0,2868.0,1758.0,963.0,1395.0,280.0,22.0,0.0,2013.0
2019-01-03 22:00:00+00:00,333.0,2081.0,1758.0,574.0,1024.0,222.0,22.0,0.0,2168.0
2019-01-03 23:00:00+00:00,335.0,1683.0,1752.0,247.0,938.0,203.0,22.0,0.0,2149.0
2019-01-04 00:00:00+00:00,332.0,1326.0,1554.0,0.0,462.0,156.0,23.0,0.0,2274.0
2019-01-04 01:00:00+00:00,326.0,1108.0,1393.0,0.0,289.0,84.0,23.0,0.0,2363.0
2019-01-04 02:00:00+00:00,328.0,1143.0,1402.0,0.0,242.0,63.0,24.0,0.0,2228.0
2019-01-04 03:00:00+00:00,326.0,1225.0,1455.0,0.0,284.0,111.0,24.0,0.0,1948.0
2019-01-04 04:00:00+00:00,326.0,1164.0,1541.0,0.0,232.0,85.0,24.0,0.0,1794.0
2019-01-04 05:00:00+00:00,328.0,1301.0,1545.0,2.0,188.0,113.0,23.0,0.0,1675.0
2019-01-04 06:00:00+00:00,325.0,1755.0,1724.0,160.0,376.0,169.0,21.0,0.0,1490.0
2019-01-04 07:00:00+00:00,323.0,2282.0,1756.0,908.0,519.0,176.0,20.0,0.0,1356.0
2019-01-04 08:00:00+00:00,324.0,3013.0,1756.0,1415.0,1114.0,198.0,23.0,39.0,1202.0
2019-01-04 09:00:00+00:00,328.0,2966.0,1756.0,1528.0,1211.0,247.0,23.0,160.0,1082.0
2019-01-04 10:00:00+00:00,328.0,2952.0,1756.0,963.0,1243.0,393.0,23.0,258.0,1052.0
2019-01-04 11:00:00+00:00,331.0,2998.0,1757.0,833.0,1441.0,210.0,24.0,312.0,908.0
2019-01-04 12:00:00+00:00,333.0,2967.0,1755.0,688.0,1059.0,120.0,24.0,326.0,808.0
2019-01-04 13:00:00+00:00,333.0,2812.0,1755.0,251.0,1110.0,137.0,24.0,317.0,780.0
2019-01-04 14:00:00+00:00,332.0,3012.0,1756.0,259.0,1085.0,147.0,23.0,277.0,590.0
2019-01-04 15:00:00+00:00,330.0,2980.0,1756.0,318.0,1016.0,159.0,24.0,182.0,553.0
2019-01-04 16:00:00+00:00,327.0,2913.0,1756.0,972.0,1090.0,285.0,23.0,73.0,618.0
2019-01-04 17:00:00+00:00,330.0,2870.0,1756.0,1191.0,1385.0,561.0,26.0,2.0,791.0
2019-01-04 18:00:00+00:00,339.0,2911.0,1755.0,1579.0,1495.0,594.0,32.0,0.0,978.0
2019-01-04 19:00:00+00:00,336.0,2861.0,1755.0,1257.0,1369.0,481.0,33.0,0.0,1131.0
2019-01-04 20:00:00+00:00,338.0,2666.0,1756.0,1064.0,1222.0,401.0,32.0,0.0,1178.0
2019-01-04 21:00:00+00:00,335.0,2605.0,1756.0,1327.0,1318.0,221.0,31.0,0.0,1277.0
2019-01-04 22:00:00+00:00,331.0,2175.0,1755.0,1051.0,1193.0,220.0,31.0,0.0,1308.0
2019-01-04 23:00:00+00:00,328.0,1848.0,1755.0,976.0,1085.0,209.0,31.0,0.0,1258.0
2019-01-05 00:00:00+00:00,334.0,1330.0,1755.0,802.0,534.0,113.0,31.0,0.0,1153.0
2019-01-05 01:00:00+00:00,334.0,1284.0,1755.0,646.0,292.0,112.0,33.0,0.0,1006.0
2019-01-05 02:00:00+00:00,331.0,1202.0,1659.0,427.0,175.0,112.0,33.0,0.0,1037.0
2019-01-05 03:00:00+00:00,335.0,1215.0,1632.0,223.0,184.0,112.0,32.0,0.0,979.0
2019-01-05 04:00:00+00:00,338.0,1191.0,1638.0,30.0,249.0,112.0,33.0,0.0,1012.0
2019-01-05 05:00:00+00:00,337.0,1177.0,1637.0,0.0,222.0,112.0,30.0,0.0,1177.0
2019-01-05 06:00:00+00:00,336.0,1311.0,1630.0,0.0,315.0,112.0,29.0,0.0,1379.0
2019-01-05 07:00:00+00:00,341.0,1495.0,1630.0,0.0,443.0,112.0,32.0,0.0,1537.0
2019-01-05 08:00:00+00:00,336.0,1775.0,1630.0,230.0,742.0,223.0,32.0,54.0,1674.0
2019-01-05 09:00:00+00:00,339.0,1781.0,1675.0,712.0,1029.0,261.0,31.0,207.0,1525.0
2019-01-05 10:00:00+00:00,343.0,2001.0,1709.0,640.0,1035.0,261.0,31.0,314.0,1300.0
2019-01-05 11:00:00+00:00,344.0,2053.0,1757.0,373.0,963.0,152.0,32.0,368.0,981.0
2019-01-05 12:00:00+00:00,346.0,2050.0,1755.0,0.0,635.0,125.0,33.0,384.0,724.0
2019-01-05 13:00:00+00:00,345.0,1969.0,1756.0,0.0,658.0,124.0,33.0,378.0,541.0
2019-01-05 14:00:00+00:00,345.0,1842.0,1741.0,0.0,538.0,113.0,33.0,340.0,458.0
2019-01-05 15:00:00+00:00,341.0,1926.0,1708.0,21.0,546.0,120.0,32.0,254.0,457.0
2019-01-05 16:00:00+00:00,343.0,2081.0,1759.0,749.0,998.0,368.0,32.0,101.0,593.0
2019-01-05 17:00:00+00:00,344.0,1980.0,1716.0,930.0,1199.0,534.0,33.0,3.0,775.0
2019-01-05 18:00:00+00:00,337.0,2154.0,1756.0,1008.0,1242.0,624.0,33.0,0.0,781.0
2019-01-05 19:00:00+00:00,341.0,2197.0,1756.0,580.0,1266.0,741.0,34.0,0.0,809.0
2019-01-05 20:00:00+00:00,339.0,2064.0,1756.0,9.0,1109.0,461.0,33.0,0.0,891.0
2019-01-05 21:00:00+00:00,341.0,2010.0,1757.0,0.0,1056.0,318.0,33.0,0.0,1106.0
2019-01-05 22:00:00+00:00,335.0,1644.0,1757.0,55.0,706.0,112.0,34.0,0.0,1238.0
2019-01-05 23:00:00+00:00,333.0,1021.0,1483.0,0.0,526.0,112.0,33.0,0.0,1294.0
2019-01-06 00:00:00+00:00,335.0,603.0,1068.0,0.0,232.0,112.0,33.0,0.0,1382.0
2019-01-06 01:00:00+00:00,332.0,449.0,990.0,0.0,132.0,112.0,33.0,0.0,1523.0
2019-01-06 02:00:00+00:00,334.0,450.0,936.0,0.0,90.0,112.0,34.0,0.0,1635.0
2019-01-06 03:00:00+00:00,332.0,447.0,952.0,0.0,89.0,63.0,34.0,0.0,1724.0
2019-01-06 04:00:00+00:00,332.0,445.0,956.0,0.0,93.0,62.0,33.0,0.0,1596.0
2019-01-06 05:00:00+00:00,329.0,446.0,953.0,0.0,91.0,62.0,32.0,0.0,1406.0
2019-01-06 06:00:00+00:00,331.0,446.0,947.0,0.0,131.0,62.0,30.0,0.0,1382.0
2019-01-06 07:00:00+00:00,334.0,445.0,944.0,0.0,205.0,62.0,31.0,0.0,1417.0
2019-01-06 08:00:00+00:00,337.0,448.0,958.0,0.0,346.0,64.0,33.0,57.0,1480.0
2019-01-06 09:00:00+00:00,339.0,534.0,1140.0,59.0,588.0,122.0,32.0,205.0,1474.0
2019-01-06 10:00:00+00:00,338.0,691.0,1180.0,5.0,663.0,176.0,32.0,308.0,1346.0
