,date,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
0,2017-04-01 00:00:00+02:00,275.0,2238.0,426.0,145.0,641.0,4323.0,1777.0,43828.0,0.0,252.0,2303.0
1,2017-04-01 01:00:00+02:00,244.0,1742.0,407.0,132.0,,4172.0,575.0,43329.0,0.0,253.0,2136.0
2,2017-04-01 02:00:00+02:00,243.0,1652.0,378.0,131.0,,4112.0,895.0,42958.0,0.0,250.0,1811.0
3,2017-04-01 03:00:00+02:00,244.0,1535.0,372.0,131.0,,4001.0,660.0,42550.0,0.0,250.0,1676.0
4,2017-04-01 04:00:00+02:00,244.0,1526.0,364.0,131.0,,4066.0,514.0,42625.0,0.0,245.0,1664.0
5,2017-04-01 05:00:00+02:00,243.0,1633.0,329.0,131.0,,4102.0,577.0,42315.0,0.0,246.0,1603.0
6,2017-04-01 06:00:00+02:00,243.0,2077.0,415.0,132.0,,4419.0,518.0,42886.0,0.0,243.0,1572.0
7,2017-04-01 07:00:00+02:00,242.0,2124.0,499.0,133.0,,4671.0,720.0,42784.0,77.0,245.0,1582.0
8,2017-04-01 08:00:00+02:00,242.0,2032.0,438.0,132.0,,4959.0,977.0,42857.0,324.0,243.0,1615.0
9,2017-04-01 09:00:00+02:00,243.0,2037.0,375.0,134.0,1529.0,5167.0,1166.0,42927.0,885.0,242.0,1402.0
10,2017-04-01 10:00:00+02:00,243.0,2030.0,372.0,133.0,1346.0,4997.0,1124.0,42867.0,1488.0,245.0,1355.0
11,2017-04-01 11:00:00+02:00,244.0,1974.0,340.0,133.0,1022.0,4793.0,934.0,42598.0,2079.0,239.0,1264.0
12,2017-04-01 12:00:00+02:00,243.0,1966.0,456.0,133.0,653.0,4656.0,821.0,42559.0,2418.0,242.0,1353.0
13,2017-04-01 13:00:00+02:00,245.0,1742.0,457.0,133.0,,4429.0,1120.0,42316.0,2528.0,241.0,1403.0
14,2017-04-01 14:00:00+02:00,243.0,1568.0,464.0,132.0,,4282.0,574.0,42375.0,2556.0,242.0,1431.0
15,2017-04-01 15:00:00+02:00,243.0,1472.0,474.0,129.0,,4361.0,615.0,42464.0,2231.0,241.0,1494.0
16,2017-04-01 16:00:00+02:00,243.0,1440.0,459.0,129.0,,4500.0,643.0,42314.0,1890.0,240.0,1649.0
17,2017-04-01 17:00:00+02:00,243.0,1946.0,514.0,130.0,,4642.0,755.0,42562.0,1568.0,240.0,1709.0
18,2017-04-01 18:00:00+02:00,243.0,2125.0,556.0,129.0,1167.0,5178.0,1762.0,41717.0,907.0,230.0,1784.0
19,2017-04-01 19:00:00+02:00,244.0,2338.0,498.0,130.0,1966.0,5688.0,2205.0,42365.0,290.0,213.0,1747.0
20,2017-04-01 20:00:00+02:00,243.0,2454.0,462.0,129.0,1847.0,5570.0,2321.0,42430.0,62.0,216.0,1683.0
21,2017-04-01 21:00:00+02:00,243.0,2418.0,439.0,130.0,1713.0,5465.0,2232.0,42534.0,0.0,214.0,1770.0
22,2017-04-01 22:00:00+02:00,244.0,2448.0,339.0,129.0,1621.0,5312.0,2176.0,42349.0,0.0,216.0,1810.0
23,2017-04-01 23:00:00+02:00,244.0,2197.0,348.0,129.0,2140.0,5118.0,2308.0,41933.0,0.0,217.0,1707.0
24,2017-04-02 00:00:00+02:00,277.0,1419.0,339.0,129.0,821.0,4639.0,1237.0,41904.0,0.0,218.0,1571.0
25,2017-04-02 01:00:00+02:00,277.0,1130.0,309.0,128.0,,4181.0,621.0,42130.0,0.0,220.0,1507.0
26,2017-04-02 02:00:00+02:00,275.0,1173.0,346.0,127.0,,4169.0,357.0,41228.0,0.0,221.0,1444.0
27,2017-04-02 03:00:00+02:00,276.0,1001.0,338.0,128.0,,4087.0,169.0,41412.0,0.0,218.0,1441.0
28,2017-04-02 04:00:00+02:00,276.0,1009.0,351.0,128.0,,3889.0,130.0,41518.0,0.0,215.0,1461.0
29,2017-04-02 05:00:00+02:00,276.0,1036.0,371.0,127.0,,4020.0,99.0,41725.0,0.0,214.0,1485.0
30,2017-04-02 06:00:00+02:00,276.0,1025.0,365.0,128.0,,4077.0,173.0,41718.0,0.0,208.0,1498.0
31,2017-04-02 07:00:00+02:00,276.0,1013.0,353.0,129.0,,4271.0,338.0,42142.0,77.0,203.0,1454.0
32,2017-04-02 08:00:00+02:00,277.0,1173.0,344.0,129.0,,4382.0,1193.0,41361.0,383.0,204.0,1344.0
33,2017-04-02 09:00:00+02:00,277.0,1249.0,401.0,129.0,,4606.0,1050.0,41878.0,1103.0,203.0,1274.0
34,2017-04-02 10:00:00+02:00,277.0,1195.0,359.0,129.0,,4555.0,1460.0,42407.0,1805.0,203.0,1250.0
35,2017-04-02 11:00:00+02:00,277.0,1167.0,336.0,129.0,,4515.0,742.0,42787.0,2433.0,204.0,1267.0
36,2017-04-02 12:00:00+02:00,277.0,999.0,336.0,130.0,,4540.0,839.0,42871.0,3031.0,203.0,1246.0
37,2017-04-02 13:00:00+02:00,277.0,1026.0,364.0,129.0,,4367.0,1087.0,43002.0,3071.0,203.0,1239.0
38,2017-04-02 14:00:00+02:00,276.0,1050.0,382.0,130.0,,3959.0,658.0,42518.0,3078.0,201.0,1281.0
39,2017-04-02 15:00:00+02:00,277.0,1053.0,382.0,134.0,,3949.0,127.0,41558.0,2780.0,202.0,1355.0
40,2017-04-02 16:00:00+02:00,277.0,1058.0,358.0,133.0,,3997.0,326.0,41377.0,2468.0,202.0,1453.0
41,2017-04-02 17:00:00+02:00,272.0,1159.0,284.0,133.0,,4260.0,813.0,41409.0,1843.0,202.0,1532.0
42,2017-04-02 18:00:00+02:00,266.0,1697.0,284.0,133.0,519.0,4719.0,1698.0,41557.0,977.0,198.0,1500.0
43,2017-04-02 19:00:00+02:00,256.0,1776.0,284.0,130.0,1598.0,5245.0,2142.0,42101.0,334.0,200.0,1501.0
44,2017-04-02 20:00:00+02:00,256.0,1981.0,283.0,130.0,1770.0,5288.0,2119.0,42522.0,68.0,203.0,1668.0
45,2017-04-02 21:00:00+02:00,256.0,1990.0,278.0,130.0,1917.0,5268.0,2103.0,42806.0,0.0,204.0,1962.0
46,2017-04-02 22:00:00+02:00,255.0,1838.0,271.0,129.0,1937.0,4901.0,2121.0,42763.0,0.0,205.0,2236.0
47,2017-04-02 23:00:00+02:00,255.0,1809.0,144.0,130.0,1592.0,4660.0,1803.0,42971.0,0.0,206.0,2490.0
48,2017-04-03 00:00:00+02:00,256.0,1845.0,,129.0,411.0,4287.0,896.0,42927.0,0.0,208.0,2555.0
49,2017-04-03 01:00:00+02:00,254.0,1676.0,,129.0,,4013.0,271.0,42667.0,0.0,210.0,2462.0
50,2017-04-03 02:00:00+02:00,250.0,1763.0,,127.0,,3784.0,317.0,43007.0,0.0,212.0,2282.0
51,2017-04-03 03:00:00+02:00,254.0,1842.0,40.0,128.0,,3760.0,220.0,43389.0,0.0,211.0,2132.0
52,2017-04-03 04:00:00+02:00,256.0,2112.0,171.0,128.0,,3997.0,134.0,44046.0,0.0,204.0,1956.0
53,2017-04-03 05:00:00+02:00,244.0,3015.0,13.0,129.0,,4208.0,563.0,44691.0,0.0,195.0,1815.0
54,2017-04-03 06:00:00+02:00,239.0,4556.0,86.0,133.0,790.0,4813.0,2610.0,45218.0,0.0,192.0,1706.0
55,2017-04-03 07:00:00+02:00,239.0,5489.0,235.0,133.0,2052.0,5533.0,3433.0,45356.0,112.0,194.0,1603.0
56,2017-04-03 08:00:00+02:00,239.0,5856.0,495.0,133.0,2110.0,5905.0,3748.0,45561.0,603.0,193.0,1464.0
57,2017-04-03 09:00:00+02:00,238.0,5807.0,887.0,133.0,2144.0,5834.0,3775.0,45472.0,1692.0,194.0,1179.0
58,2017-04-03 10:00:00+02:00,239.0,5927.0,520.0,280.0,2203.0,5750.0,3815.0,45464.0,2898.0,196.0,939.0
59,2017-04-03 11:00:00+02:00,239.0,5514.0,450.0,289.0,1542.0,5634.0,3290.0,45423.0,3904.0,195.0,883.0
60,2017-04-03 12:00:00+02:00,239.0,5403.0,447.0,132.0,1356.0,5277.0,2636.0,45303.0,4654.0,195.0,949.0
61,2017-04-03 13:00:00+02:00,239.0,5672.0,453.0,133.0,414.0,4889.0,1992.0,45010.0,4873.0,196.0,974.0
62,2017-04-03 14:00:00+02:00,239.0,5621.0,467.0,133.0,221.0,4517.0,1503.0,44912.0,4701.0,198.0,931.0
63,2017-04-03 15:00:00+02:00,239.0,5572.0,521.0,133.0,,4288.0,922.0,45042.0,4291.0,199.0,901.0
64,2017-04-03 16:00:00+02:00,244.0,5514.0,513.0,132.0,,4435.0,849.0,44933.0,3460.0,200.0,928.0
65,2017-04-03 17:00:00+02:00,253.0,5794.0,544.0,132.0,,5003.0,1425.0,45025.0,2467.0,200.0,990.0
66,2017-04-03 18:00:00+02:00,250.0,5745.0,510.0,132.0,568.0,5418.0,2413.0,45063.0,1390.0,201.0,1042.0
67,2017-04-03 19:00:00+02:00,250.0,5960.0,500.0,133.0,2067.0,5918.0,2838.0,45052.0,430.0,206.0,1102.0
68,2017-04-03 20:00:00+02:00,253.0,6011.0,494.0,133.0,2104.0,5968.0,2804.0,45046.0,67.0,203.0,1273.0
69,2017-04-03 21:00:00+02:00,254.0,5949.0,493.0,133.0,1590.0,5747.0,2730.0,44740.0,0.0,201.0,1530.0
70,2017-04-03 22:00:00+02:00,255.0,5326.0,472.0,132.0,773.0,5324.0,1794.0,44476.0,0.0,199.0,1616.0
71,2017-04-03 23:00:00+02:00,255.0,4645.0,492.0,133.0,556.0,4969.0,1470.0,44354.0,0.0,199.0,1775.0
72,2017-04-04 00:00:00+02:00,255.0,4732.0,350.0,132.0,,4545.0,1258.0,44325.0,0.0,198.0,1761.0
73,2017-04-04 01:00:00+02:00,255.0,4517.0,314.0,133.0,,4091.0,771.0,44431.0,0.0,199.0,1752.0
74,2017-04-04 02:00:00+02:00,255.0,4456.0,316.0,133.0,,3945.0,780.0,44458.0,0.0,200.0,1611.0
75,2017-04-04 03:00:00+02:00,255.0,4306.0,468.0,133.0,,3886.0,922.0,43743.0,0.0,199.0,1427.0
76,2017-04-04 04:00:00+02:00,255.0,4608.0,566.0,134.0,,3975.0,750.0,43774.0,0.0,199.0,1316.0
77,2017-04-04 05:00:00+02:00,254.0,4944.0,727.0,134.0,,4329.0,956.0,44142.0,0.0,199.0,1156.0
78,2017-04-04 06:00:00+02:00,254.0,5749.0,880.0,133.0,786.0,4855.0,1995.0,44840.0,0.0,203.0,1138.0
79,2017-04-04 07:00:00+02:00,254.0,6051.0,903.0,134.0,2040.0,5390.0,2807.0,44867.0,113.0,203.0,1126.0
80,2017-04-04 08:00:00+02:00,255.0,6084.0,1041.0,133.0,1837.0,5743.0,2850.0,45209.0,584.0,197.0,1164.0
81,2017-04-04 09:00:00+02:00,254.0,6192.0,1166.0,158.0,2046.0,5738.0,2793.0,45271.0,1604.0,194.0,1083.0
82,2017-04-04 10:00:00+02:00,254.0,6159.0,1083.0,134.0,1883.0,5463.0,2597.0,45276.0,2803.0,198.0,1128.0
83,2017-04-04 11:00:00+02:00,254.0,5966.0,1048.0,134.0,1317.0,5165.0,2091.0,45240.0,3690.0,197.0,1275.0
84,2017-04-04 12:00:00+02:00,254.0,5695.0,1061.0,134.0,966.0,4827.0,1558.0,45286.0,4156.0,199.0,1358.0
85,2017-04-04 13:00:00+02:00,254.0,5804.0,1105.0,134.0,1063.0,4629.0,1522.0,45249.0,4225.0,199.0,1397.0
86,2017-04-04 14:00:00+02:00,253.0,5784.0,1148.0,134.0,403.0,4438.0,1256.0,45020.0,4128.0,197.0,1534.0
87,2017-04-04 15:00:00+02:00,253.0,5700.0,1164.0,134.0,26.0,4259.0,1056.0,44845.0,3726.0,199.0,1817.0
88,2017-04-04 16:00:00+02:00,255.0,5693.0,1165.0,133.0,,4203.0,1502.0,44975.0,3132.0,198.0,2026.0
89,2017-04-04 17:00:00+02:00,255.0,5669.0,1157.0,133.0,448.0,4578.0,1681.0,45035.0,2184.0,207.0,2189.0
90,2017-04-04 18:00:00+02:00,255.0,5727.0,1162.0,133.0,1308.0,5023.0,2290.0,45223.0,1095.0,208.0,2226.0
91,2017-04-04 19:00:00+02:00,255.0,6072.0,1165.0,134.0,2499.0,5485.0,3040.0,45221.0,353.0,210.0,2131.0
92,2017-04-04 20:00:00+02:00,255.0,6109.0,1166.0,133.0,2482.0,5365.0,2813.0,45224.0,87.0,212.0,2180.0
93,2017-04-04 21:00:00+02:00,255.0,6021.0,1087.0,133.0,1967.0,4948.0,2515.0,45245.0,0.0,213.0,2612.0
94,2017-04-04 22:00:00+02:00,254.0,5492.0,1056.0,133.0,1079.0,4583.0,2018.0,44979.0,0.0,215.0,2972.0
95,2017-04-04 23:00:00+02:00,254.0,5249.0,1026.0,133.0,1048.0,4151.0,1512.0,44806.0,0.0,215.0,3131.0
96,2017-04-05 00:00:00+02:00,253.0,4066.0,919.0,140.0,181.0,3950.0,933.0,44793.0,0.0,213.0,3049.0
97,2017-04-05 01:00:00+02:00,254.0,3925.0,899.0,140.0,,3773.0,712.0,44788.0,0.0,216.0,2990.0
98,2017-04-05 02:00:00+02:00,264.0,3788.0,892.0,140.0,,3638.0,466.0,44533.0,0.0,218.0,3099.0
99,2017-04-05 03:00:00+02:00,272.0,3757.0,901.0,140.0,,3698.0,428.0,44485.0,0.0,217.0,3052.0
100,2017-04-05 04:00:00+02:00,274.0,3698.0,937.0,141.0,,3670.0,627.0,44700.0,0.0,219.0,2875.0
101,2017-04-05 05:00:00+02:00,274.0,4068.0,1082.0,140.0,,3791.0,620.0,44949.0,0.0,218.0,2692.0
102,2017-04-05 06:00:00+02:00,274.0,5347.0,1078.0,141.0,191.0,4402.0,1761.0,45127.0,0.0,215.0,2615.0
103,2017-04-05 07:00:00+02:00,272.0,5903.0,1086.0,140.0,1886.0,5303.0,2763.0,44466.0,142.0,215.0,2582.0
104,2017-04-05 08:00:00+02:00,272.0,5919.0,1055.0,596.0,2018.0,5716.0,3045.0,43735.0,621.0,216.0,2508.0
105,2017-04-05 09:00:00+02:00,272.0,5727.0,1058.0,494.0,1880.0,5803.0,3062.0,43756.0,1669.0,216.0,2316.0
106,2017-04-05 10:00:00+02:00,272.0,5905.0,1198.0,140.0,1583.0,5830.0,2887.0,43859.0,2611.0,210.0,2442.0
107,2017-04-05 11:00:00+02:00,272.0,5666.0,1351.0,140.0,1007.0,5708.0,2426.0,43842.0,3440.0,205.0,2621.0
108,2017-04-05 12:00:00+02:00,273.0,5645.0,1442.0,140.0,1324.0,5300.0,2275.0,43789.0,4040.0,205.0,2649.0
109,2017-04-05 13:00:00+02:00,273.0,5449.0,1434.0,140.0,932.0,4953.0,2199.0,43751.0,4242.0,200.0,2887.0
110,2017-04-05 14:00:00+02:00,271.0,5021.0,1458.0,140.0,490.0,4712.0,1702.0,44622.0,3904.0,203.0,3158.0
111,2017-04-05 15:00:00+02:00,271.0,5064.0,1419.0,140.0,,4523.0,1017.0,44805.0,3510.0,204.0,3422.0
112,2017-04-05 16:00:00+02:00,271.0,5134.0,1360.0,140.0,,4469.0,688.0,44846.0,2893.0,208.0,3687.0
113,2017-04-05 17:00:00+02:00,272.0,4984.0,1252.0,140.0,,4487.0,671.0,44792.0,2063.0,210.0,3895.0
114,2017-04-05 18:00:00+02:00,272.0,5164.0,1258.0,140.0,,4955.0,1243.0,44778.0,1219.0,212.0,3980.0
115,2017-04-05 19:00:00+02:00,272.0,5426.0,1250.0,140.0,201.0,5201.0,2049.0,44955.0,396.0,212.0,3753.0
