,Biomass,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Waste,Wind Onshore
2022-01-01 00:00:00+01:00,0.0,41.65,2.688,54.84,235.296,0.0,,29.51104,11.825
2022-01-01 01:00:00+01:00,0.0,41.65,2.544,54.024,236.064,0.0,,32.2777,10.626
2022-01-01 02:00:00+01:00,0.0,41.16,2.616,54.216,243.38400000000001,0.0,,31.35548,8.965
2022-01-01 03:00:00+01:00,0.0,41.65,2.664,54.192,222.45600000000002,0.0,,30.43326,7.765999999999999
2022-01-01 04:00:00+01:00,0.0,41.16,2.4,53.904,216.744,0.0,,29.51104,7.26
2022-01-01 05:00:00+01:00,0.0,41.65,2.496,53.592,220.68,0.0,,29.51104,7.281999999999999
2022-01-01 06:00:00+01:00,0.0,41.16,3.048,53.256,219.312,0.0,,29.51104,7.909
2022-01-01 07:00:00+01:00,0.0,41.16,3.24,53.736000000000004,217.20000000000002,0.0,,25.82216,9.911
2022-01-01 08:00:00+01:00,0.0,41.65,3.36,53.976,224.66400000000002,0.0,,28.588820000000002,12.606
2022-01-01 09:00:00+01:00,0.0,41.16,3.432,54.384,232.608,0.0,,32.2777,17.633
2022-01-01 10:00:00+01:00,0.0,41.16,3.408,53.904,236.352,0.0,,30.43326,23.044999999999998
2022-01-01 11:00:00+01:00,0.0,41.65,3.384,53.856,239.856,0.0,,29.51104,25.938
2022-01-01 12:00:00+01:00,0.0,41.65,3.384,53.712,234.84,0.0,,28.588820000000002,28.973999999999997
2022-01-01 13:00:00+01:00,0.0,41.65,3.36,53.448,228.192,0.0,,28.588820000000002,30.535999999999998
2022-01-01 14:00:00+01:00,0.0,42.14,3.432,53.568,244.464,0.0,,31.35548,30.788999999999998
2022-01-01 15:00:00+01:00,0.0,41.16,3.384,53.208,253.104,0.0,,28.588820000000002,31.394
2022-01-01 16:00:00+01:00,0.0,41.65,3.36,53.832,266.30400000000003,0.0,,28.588820000000002,31.503999999999998
2022-01-01 17:00:00+01:00,0.0,41.65,3.6,54.288000000000004,295.224,0.0,,27.666600000000003,30.843999999999998
2022-01-01 18:00:00+01:00,0.0,42.63,3.576,54.792,297.672,0.0,,26.74438,30.447999999999997
2022-01-01 19:00:00+01:00,0.0,51.449999999999996,3.384,55.104,264.552,0.0,,26.74438,27.686999999999998
2022-01-01 20:00:00+01:00,0.0,41.65,3.3120000000000003,53.208,240.048,0.0,,27.666600000000003,26.355999999999998
2022-01-01 21:00:00+01:00,0.0,41.16,3.048,53.208,228.552,0.0,,25.82216,24.772
2022-01-01 22:00:00+01:00,0.0,43.12,3.048,53.472,218.976,0.0,,34.12214,24.288
2022-01-01 23:00:00+01:00,0.0,41.65,3.072,53.184000000000005,207.696,0.0,,36.8888,25.398999999999997
2022-01-02 00:00:00+01:00,0.0,43.12,2.496,51.696,206.544,0.0,,37.81102,27.313
2022-01-02 01:00:00+01:00,0.0,41.16,2.496,51.144,209.256,0.0,,37.81102,26.752
2022-01-02 02:00:00+01:00,0.0,41.16,2.448,51.648,202.776,0.0,,35.044360000000005,25.651999999999997
2022-01-02 03:00:00+01:00,0.0,41.65,2.424,51.864000000000004,196.632,0.0,,34.12214,25.08
2022-01-02 04:00:00+01:00,0.0,41.16,2.2800000000000002,52.296,187.44,0.0,,27.666600000000003,24.343
2022-01-02 05:00:00+01:00,0.0,41.65,2.448,53.04,182.856,0.0,,25.82216,23.232
2022-01-02 06:00:00+01:00,0.0,41.65,2.496,53.784,186.48,0.0,,32.2777,21.362
2022-01-02 07:00:00+01:00,0.0,41.65,2.448,53.76,204.168,0.0,,36.8888,22.275
2022-01-02 08:00:00+01:00,0.0,41.16,2.592,54.192,217.92000000000002,0.0,,36.8888,20.339
2022-01-02 09:00:00+01:00,0.0,41.65,2.592,56.256,225.36,0.0,,36.8888,19.47
2022-01-02 10:00:00+01:00,0.0,41.65,2.616,56.544000000000004,244.584,0.0,,33.19992,19.162
2022-01-02 11:00:00+01:00,0.0,41.65,2.592,57.576,264.86400000000003,0.0,,31.35548,18.721999999999998
2022-01-02 12:00:00+01:00,0.0,41.16,2.592,57.888,261.744,0.0,,31.35548,17.776
2022-01-02 13:00:00+01:00,0.0,41.16,2.616,57.984,268.488,0.0,,32.2777,17.391
2022-01-02 14:00:00+01:00,0.0,42.14,2.616,59.136,282.024,0.0,,35.96658,17.336
2022-01-02 15:00:00+01:00,0.0,41.65,3.408,59.4,280.104,0.0,,33.19992,18.270999999999997
2022-01-02 16:00:00+01:00,0.0,41.16,3.456,58.992000000000004,283.44,0.0,,29.51104,19.723
2022-01-02 17:00:00+01:00,0.0,41.65,3.456,59.592,285.408,0.0,,30.43326,21.362
2022-01-02 18:00:00+01:00,0.0,42.14,3.432,59.016,285.936,0.0,,27.666600000000003,24.276999999999997
2022-01-02 19:00:00+01:00,0.0,41.65,2.856,58.392,263.952,0.0,,28.588820000000002,27.444999999999997
2022-01-02 20:00:00+01:00,0.0,41.65,2.688,56.808,220.68,0.0,,27.666600000000003,29.677999999999997
2022-01-02 21:00:00+01:00,0.0,41.16,2.52,56.688,215.4,0.0,,28.588820000000002,29.622999999999998
2022-01-02 22:00:00+01:00,0.0,41.16,2.616,56.016,223.296,0.0,,35.044360000000005,27.962
2022-01-02 23:00:00+01:00,0.0,41.16,2.448,54.336,198.96,0.0,,30.43326,26.895
2022-01-03 00:00:00+01:00,0.0,39.69,2.448,52.32,174.048,0.0,,31.35548,25.718
2022-01-03 01:00:00+01:00,0.0,40.18,2.424,52.584,168.864,0.0,,35.96658,24.266
2022-01-03 02:00:00+01:00,0.0,39.69,2.448,52.896,167.16,0.0,,35.044360000000005,22.648999999999997
2022-01-03 03:00:00+01:00,0.0,40.67,2.448,52.896,171.792,0.0,,35.044360000000005,22.296999999999997
2022-01-03 04:00:00+01:00,0.0,41.16,2.424,52.704,171.984,0.0,,31.35548,24.442
2022-01-03 05:00:00+01:00,0.0,41.16,2.424,54.24,192.24,0.0,,28.588820000000002,27.555
2022-01-03 06:00:00+01:00,0.0,42.63,3.12,55.824,231.576,0.0,,27.666600000000003,31.349999999999998
2022-01-03 07:00:00+01:00,0.0,39.69,3.216,58.68,263.496,0.0,,31.35548,32.549
2022-01-03 08:00:00+01:00,0.0,40.18,3.168,59.592,286.8,0.0,,27.666600000000003,32.219
2022-01-03 09:00:00+01:00,0.0,40.18,3.144,60.528,297.384,0.0,,23.97772,31.910999999999998
2022-01-03 10:00:00+01:00,0.0,40.18,3.168,60.696,286.704,0.0,,23.055500000000002,32.23
2022-01-03 11:00:00+01:00,0.0,40.18,3.192,61.800000000000004,301.56,0.0,,24.89994,30.788999999999998
2022-01-03 12:00:00+01:00,0.0,39.69,3.2640000000000002,61.632,309.88800000000003,0.0,,27.666600000000003,31.052999999999997
2022-01-03 13:00:00+01:00,0.0,40.18,3.2880000000000003,62.928000000000004,310.368,0.0,,23.97772,31.503999999999998
2022-01-03 14:00:00+01:00,0.0,40.18,3.336,63.768,320.712,0.0,,28.588820000000002,30.206
2022-01-03 15:00:00+01:00,0.0,40.18,3.6,64.248,321.91200000000003,0.0,,23.97772,30.139999999999997
2022-01-03 16:00:00+01:00,0.0,40.18,3.6,65.16,331.92,0.0,,23.055500000000002,26.762999999999998
2022-01-03 17:00:00+01:00,0.0,40.18,3.6,64.944,351.192,0.0,,23.055500000000002,25.233999999999998
2022-01-03 18:00:00+01:00,0.0,40.18,3.576,64.176,353.928,0.0,,27.666600000000003,23.221
2022-01-03 19:00:00+01:00,0.0,39.69,3.6,64.8,351.408,0.0,,27.666600000000003,21.549
2022-01-03 20:00:00+01:00,0.0,40.18,3.6,64.512,348.288,0.0,,27.666600000000003,19.052
2022-01-03 21:00:00+01:00,0.0,39.69,3.552,63.912,329.208,0.0,,25.82216,19.788999999999998
2022-01-03 22:00:00+01:00,0.0,40.18,2.688,62.736000000000004,313.728,0.0,,22.13328,20.459999999999997
2022-01-03 23:00:00+01:00,0.0,39.69,2.664,61.704,279.024,0.0,,18.4444,21.823999999999998
2022-01-04 00:00:00+01:00,0.0,39.69,2.712,62.448,281.448,0.0,,23.97772,22.627
2022-01-04 01:00:00+01:00,0.0,40.18,2.688,61.344,279.81600000000003,0.0,,28.588820000000002,23.264999999999997
2022-01-04 02:00:00+01:00,0.0,40.67,2.712,60.648,272.904,0.0,,29.51104,26.201999999999998
2022-01-04 03:00:00+01:00,0.0,40.18,2.688,60.36,253.824,0.0,,31.35548,26.378
2022-01-04 04:00:00+01:00,0.0,40.18,2.712,60.216,255.264,0.0,,31.35548,27.477999999999998
2022-01-04 05:00:00+01:00,0.0,40.18,2.688,60.528,292.296,0.0,,31.35548,25.872
2022-01-04 06:00:00+01:00,0.0,40.18,4.44,61.824,373.992,0.0,,28.588820000000002,25.552999999999997
2022-01-04 07:00:00+01:00,0.0,40.18,11.76,63.408,436.704,0.0,,23.97772,26.014999999999997
2022-01-04 08:00:00+01:00,0.0,40.18,13.704,64.608,483.81600000000003,0.0,,18.4444,25.695999999999998
2022-01-04 09:00:00+01:00,0.0,39.69,13.704,65.232,471.648,0.0,,18.4444,24.508
2022-01-04 10:00:00+01:00,0.0,40.67,17.016000000000002,65.08800000000001,472.344,0.0,,18.4444,23.451999999999998
2022-01-04 11:00:00+01:00,0.0,41.16,15.672,64.176,469.392,0.0,,18.4444,22.791999999999998
2022-01-04 12:00:00+01:00,0.0,41.16,15.624,64.464,461.832,0.0,,18.4444,21.241
2022-01-04 13:00:00+01:00,0.0,41.16,14.616,64.248,457.08,0.0,,18.4444,18.666999999999998
2022-01-04 14:00:00+01:00,0.0,41.16,14.592,64.32000000000001,459.91200000000003,0.0,,18.4444,17.534
2022-01-04 15:00:00+01:00,0.0,41.16,15.864,65.112,471.384,0.0,,21.21106,15.806999999999999
2022-01-04 16:00:00+01:00,0.0,41.16,16.416,64.8,487.2,0.0,,19.36662,16.378999999999998
2022-01-04 17:00:00+01:00,0.0,41.65,17.664,64.512,498.72,0.0,,19.36662,15.312
2022-01-04 18:00:00+01:00,0.0,41.16,17.04,63.312000000000005,485.40000000000003,0.0,,19.36662,14.729
2022-01-04 19:00:00+01:00,0.0,41.65,12.768,63.144,454.728,0.0,,19.36662,12.507
2022-01-04 20:00:00+01:00,0.0,43.61,7.632000000000001,61.992000000000004,419.47200000000004,0.0,,19.36662,11.802999999999999
2022-01-04 21:00:00+01:00,0.0,42.14,4.68,61.848,379.512,0.0,,19.36662,13.167
2022-01-04 22:00:00+01:00,0.0,41.16,4.68,60.792,342.48,0.0,,22.13328,12.276
2022-01-04 23:00:00+01:00,0.0,41.16,4.152,59.88,299.784,0.0,,19.36662,11.428999999999998
2022-01-05 00:00:00+01:00,0.0,42.63,2.7840000000000003,58.608000000000004,295.992,0.0,,24.89994,12.473999999999998
2022-01-05 01:00:00+01:00,0.0,41.16,2.664,57.864000000000004,276.936,0.0,,27.666600000000003,13.386999999999999
2022-01-05 02:00:00+01:00,0.0,41.16,2.712,57.24,264.264,0.0,,28.588820000000002,12.242999999999999
2022-01-05 03:00:00+01:00,0.0,41.16,2.736,56.616,252.96,0.0,,28.588820000000002,10.67
2022-01-05 04:00:00+01:00,0.0,41.16,2.712,56.736000000000004,255.864,0.0,,28.588820000000002,11.725999999999999
2022-01-05 05:00:00+01:00,0.0,41.16,3.2640000000000002,57.504,280.704,0.0,,28.588820000000002,13.673
2022-01-05 06:00:00+01:00,0.0,41.16,5.256,58.800000000000004,334.896,0.0,,26.74438,15.719
2022-01-05 07:00:00+01:00,0.0,41.65,6.912,59.76,377.544,0.0,,27.666600000000003,17.028
2022-01-05 08:00:00+01:00,0.0,42.14,7.368,59.976,407.976,0.0,,20.28884,22.0
2022-01-05 09:00:00+01:00,0.0,41.16,7.344,58.872,403.344,0.0,,25.82216,23.154999999999998
2022-01-05 10:00:00+01:00,0.0,41.65,7.32,58.872,407.712,0.0,,26.74438,22.956999999999997
2022-01-05 11:00:00+01:00,0.0,41.65,7.296,58.704,394.296,0.0,,23.055500000000002,21.967
2022-01-05 12:00:00+01:00,0.0,41.16,7.392,58.536,378.096,0.0,,20.28884,22.407
2022-01-05 13:00:00+01:00,0.0,41.16,7.2,58.512,375.288,0.0,,26.74438,20.141
2022-01-05 14:00:00+01:00,0.0,41.16,7.2,58.512,371.928,0.0,,23.055500000000002,19.965
2022-01-05 15:00:00+01:00,0.0,42.14,7.152,58.608000000000004,379.8,0.0,,26.74438,20.262
2022-01-05 16:00:00+01:00,0.0,43.12,7.248,58.824,400.704,0.0,,23.055500000000002,21.461
2022-01-05 17:00:00+01:00,0.0,42.14,7.728,59.208,419.47200000000004,0.0,,23.055500000000002,22.044
2022-01-05 18:00:00+01:00,0.0,42.63,7.5120000000000005,57.72,407.832,0.0,,23.055500000000002,21.703
2022-01-05 19:00:00+01:00,0.0,41.65,6.84,56.808,384.696,0.0,,21.21106,23.715999999999998
2022-01-05 20:00:00+01:00,0.0,41.65,6.336,55.776,361.368,0.0,,22.13328,25.288999999999998
2022-01-05 21:00:00+01:00,0.0,41.65,6.336,55.368,358.464,0.0,,23.055500000000002,24.177999999999997
2022-01-05 22:00:00+01:00,0.0,43.61,6.336,55.704,332.976,0.0,,25.82216,22.791999999999998
2022-01-05 23:00:00+01:00,0.0,43.61,6.336,54.984,322.152,0.0,,24.89994,19.162
2022-01-06 00:00:00+01:00,0.0,43.61,5.976,53.424,324.79200000000003,0.0,,24.89994,17.886
2022-01-06 01:00:00+01:00,0.0,43.12,5.808,52.752,315.216,0.0,,23.97772,15.466
2022-01-06 02:00:00+01:00,0.0,42.63,5.808,53.160000000000004,312.936,0.0,,25.82216,13.309999999999999
2022-01-06 03:00:00+01:00,0.0,41.65,5.856,52.968,337.848,0.0,,25.82216,11.715
2022-01-06 04:00:00+01:00,0.0,42.14,6.048,54.024,360.192,0.0,,23.97772,11.924
2022-01-06 05:00:00+01:00,0.0,42.14,6.936,54.72,396.91200000000003,0.0,,21.21106,11.043999999999999
2022-01-06 06:00:00+01:00,0.0,42.63,14.184000000000001,55.656,432.744,0.0,,22.13328,12.418999999999999
2022-01-06 07:00:00+01:00,0.0,41.65,14.232000000000001,57.24,480.76800000000003,0.0,,20.28884,8.062999999999999
2022-01-06 08:00:00+01:00,0.0,41.65,19.44,57.72,497.904,0.0,,21.21106,8.184
2022-01-06 09:00:00+01:00,0.0,41.16,20.400000000000002,57.72,502.464,0.0,,21.21106,7.194
2022-01-06 10:00:00+01:00,0.0,41.16,20.928,57.312000000000005,503.52000000000004,0.0,,23.055500000000002,6.369
2022-01-06 11:00:00+01:00,0.0,41.65,21.384,58.152,496.968,0.0,,22.13328,5.6979999999999995
2022-01-06 12:00:00+01:00,0.0,41.16,21.288,58.056000000000004,483.79200000000003,0.0,,21.21106,5.808
2022-01-06 13:00:00+01:00,0.0,41.16,20.64,58.32,472.464,0.0,,21.21106,6.324999999999999
2022-01-06 14:00:00+01:00,0.0,41.65,20.256,58.656,461.616,0.0,,21.21106,7.007
2022-01-06 15:00:00+01:00,0.0,41.16,20.304000000000002,58.56,467.208,0.0,,22.13328,7.667
2022-01-06 16:00:00+01:00,0.0,41.16,20.304000000000002,58.824,468.0,0.0,,22.13328,9.163
2022-01-06 17:00:00+01:00,0.0,41.65,20.28,58.512,479.37600000000003,0.0,,22.13328,10.636999999999999
2022-01-06 18:00:00+01:00,0.0,41.16,20.256,58.032000000000004,473.952,0.0,,23.055500000000002,11.725999999999999
2022-01-06 19:00:00+01:00,0.0,41.65,20.424,58.032000000000004,461.25600000000003,0.0,,23.055500000000002,12.705
2022-01-06 20:00:00+01:00,0.0,42.14,20.544,58.176,455.37600000000003,0.0,,25.82216,13.75
2022-01-06 21:00:00+01:00,0.0,41.65,20.568,57.912,456.24,0.0,,27.666600000000003,14.113
2022-01-06 22:00:00+01:00,0.0,42.14,16.896,57.072,442.32,0.0,,25.82216,15.938999999999998
2022-01-06 23:00:00+01:00,0.0,42.63,8.784,56.448,385.152,0.0,,23.97772,17.962999999999997
2022-01-07 00:00:00+01:00,0.0,42.14,3.7920000000000003,55.800000000000004,325.44,0.0,,21.21106,19.799999999999997
2022-01-07 01:00:00+01:00,0.0,41.65,2.736,55.152,308.688,0.0,,24.89994,20.592
2022-01-07 02:00:00+01:00,0.0,41.65,2.736,54.336,292.824,0.0,,29.51104,23.65
2022-01-07 03:00:00+01:00,0.0,42.14,2.7600000000000002,53.448,292.32,0.0,,30.43326,24.002
2022-01-07 04:00:00+01:00,0.0,42.14,2.712,53.184000000000005,287.76,0.0,,30.43326,23.979999999999997
2022-01-07 05:00:00+01:00,0.0,41.16,2.688,53.856,300.96,0.0,,25.82216,24.519
2022-01-07 06:00:00+01:00,0.0,42.14,5.208,55.224000000000004,371.76,0.0,,28.588820000000002,24.31
2022-01-07 07:00:00+01:00,0.0,41.65,8.112,57.408,439.752,0.0,,24.89994,23.892
2022-01-07 08:00:00+01:00,0.0,41.65,9.408,58.608000000000004,458.52,0.0,,24.89994,23.979999999999997
2022-01-07 09:00:00+01:00,0.0,41.65,9.48,58.416000000000004,463.8,0.0,,23.055500000000002,23.892
2022-01-07 10:00:00+01:00,0.0,43.12,9.456,58.848,472.272,0.0,,23.97772,23.595
2022-01-07 11:00:00+01:00,0.0,41.65,9.48,58.752,495.6,0.0,,21.21106,23.298
2022-01-07 12:00:00+01:00,0.0,41.65,9.456,58.92,504.6,0.0,,21.21106,22.429
2022-01-07 13:00:00+01:00,0.0,41.16,9.48,59.28,506.736,0.0,,21.21106,21.923
2022-01-07 14:00:00+01:00,0.0,41.65,10.368,59.016,516.192,0.0,,23.97772,21.252
2022-01-07 15:00:00+01:00,0.0,41.16,15.936,60.456,520.2,0.0,,23.055500000000002,21.637
2022-01-07 16:00:00+01:00,0.0,41.16,16.272000000000002,60.552,515.952,0.0,,23.97772,23.947
2022-01-07 17:00:00+01:00,0.0,41.65,15.744,59.904,510.72,0.0,,23.055500000000002,22.384999999999998
2022-01-07 18:00:00+01:00,0.0,41.65,13.032,60.0,505.272,0.0,,23.055500000000002,21.615
2022-01-07 19:00:00+01:00,0.0,42.63,12.576,58.536,503.736,0.0,,23.055500000000002,22.605
2022-01-07 20:00:00+01:00,0.0,42.63,14.592,58.296,486.504,0.0,,21.21106,22.429
2022-01-07 21:00:00+01:00,0.0,42.14,14.976,57.744,471.86400000000003,0.0,,21.21106,20.250999999999998
2022-01-07 22:00:00+01:00,0.0,42.14,12.096,57.264,459.86400000000003,0.0,,19.36662,20.009
2022-01-07 23:00:00+01:00,0.0,42.63,9.864,55.872,432.264,0.0,,20.28884,20.493
2022-01-08 00:00:00+01:00,0.0,43.12,8.688,55.632,426.98400000000004,0.0,,22.13328,20.625
2022-01-08 01:00:00+01:00,0.0,42.14,8.472,55.128,411.312,0.0,,19.36662,22.528
2022-01-08 02:00:00+01:00,0.0,42.14,8.496,54.96,400.104,0.0,,18.4444,19.887999999999998
2022-01-08 03:00:00+01:00,0.0,41.16,8.568,54.864000000000004,408.432,0.0,,20.28884,18.282
2022-01-08 04:00:00+01:00,0.0,42.14,8.592,55.416000000000004,417.384,0.0,,19.36662,16.269
2022-01-08 05:00:00+01:00,0.0,41.65,8.544,56.376,413.712,0.0,,21.21106,15.51
2022-01-08 06:00:00+01:00,0.0,41.65,9.432,57.36,418.824,0.0,,20.28884,14.332999999999998
2022-01-08 07:00:00+01:00,0.0,41.16,9.384,58.92,430.632,0.0,,21.21106,13.947999999999999
2022-01-08 08:00:00+01:00,0.0,41.16,9.432,58.944,450.648,0.0,,20.28884,13.013
2022-01-08 09:00:00+01:00,0.0,41.16,12.048,59.256,468.648,0.0,,21.21106,12.880999999999998
2022-01-08 10:00:00+01:00,0.0,41.65,12.048,59.28,499.368,0.0,,23.97772,13.210999999999999
2022-01-08 11:00:00+01:00,0.0,41.16,12.096,59.616,510.048,0.0,,25.82216,12.562
2022-01-08 12:00:00+01:00,0.0,41.16,12.024000000000001,59.736000000000004,516.12,0.0,,23.055500000000002,11.737
2022-01-08 13:00:00+01:00,0.0,41.65,11.88,59.664,500.208,0.0,,23.055500000000002,11.604999999999999
2022-01-08 14:00:00+01:00,0.0,41.16,11.808,59.448,500.30400000000003,0.0,,23.055500000000002,11.891
2022-01-08 15:00:00+01:00,0.0,41.16,12.048,59.232,506.44800000000004,0.0,,23.97772,13.277
2022-01-08 16:00:00+01:00,0.0,41.65,12.048,59.088,496.344,0.0,,23.97772,15.454999999999998
2022-01-08 17:00:00+01:00,0.0,41.16,9.24,58.992000000000004,494.904,0.0,,24.89994,19.238999999999997
2022-01-08 18:00:00+01:00,0.0,41.65,6.648000000000001,58.896,466.872,0.0,,23.97772,21.625999999999998
2022-01-08 19:00:00+01:00,0.0,41.16,6.6240000000000006,58.68,420.312,0.0,,23.055500000000002,23.342
2022-01-08 20:00:00+01:00,0.0,41.65,5.256,56.808,370.896,0.0,,23.97772,23.628
2022-01-08 21:00:00+01:00,0.0,41.65,3.456,56.616,351.48,0.0,,25.82216,22.572
2022-01-08 22:00:00+01:00,0.0,42.63,3.408,56.112,335.016,0.0,,26.74438,24.211
2022-01-08 23:00:00+01:00,0.0,42.63,3.408,55.704,326.088,0.0,,27.666600000000003,23.903
2022-01-09 00:00:00+01:00,0.0,41.16,2.8080000000000003,53.88,303.336,0.0,,27.666600000000003,24.266
2022-01-09 01:00:00+01:00,0.0,41.16,2.7840000000000003,53.688,289.992,0.0,,32.2777,25.52
2022-01-09 02:00:00+01:00,0.0,41.16,2.7840000000000003,53.232,273.88800000000003,0.0,,32.2777,26.598
2022-01-09 03:00:00+01:00,0.0,41.16,2.7840000000000003,52.344,266.16,0.0,,32.2777,27.368
2022-01-09 04:00:00+01:00,0.0,41.16,2.7840000000000003,51.456,259.128,0.0,,32.2777,27.456
2022-01-09 05:00:00+01:00,0.0,41.16,2.8080000000000003,51.648,255.768,0.0,,32.2777,27.070999999999998
2022-01-09 06:00:00+01:00,0.0,41.16,2.8080000000000003,51.984,261.192,0.0,,33.19992,26.994
2022-01-09 07:00:00+01:00,0.0,42.14,2.8080000000000003,52.176,272.424,0.0,,33.19992,27.346
2022-01-09 08:00:00+01:00,0.0,42.14,3.2880000000000003,53.160000000000004,295.272,0.0,,33.19992,27.840999999999998
2022-01-09 09:00:00+01:00,0.0,41.16,4.368,55.272,350.35200000000003,0.0,,28.588820000000002,29.930999999999997
2022-01-09 10:00:00+01:00,0.0,41.16,4.752,55.800000000000004,413.32800000000003,0.0,,29.51104,32.108999999999995
2022-01-09 11:00:00+01:00,0.0,41.16,6.12,56.64,456.86400000000003,0.0,,27.666600000000003,32.384
2022-01-09 12:00:00+01:00,0.0,41.65,8.64,57.144,472.56,0.0,,26.74438,30.877
2022-01-09 13:00:00+01:00,0.0,41.65,10.08,57.384,482.16,0.0,,32.2777,28.753999999999998
2022-01-09 14:00:00+01:00,0.0,42.14,10.200000000000001,56.64,492.84000000000003,0.0,,25.82216,28.412999999999997
2022-01-09 15:00:00+01:00,0.0,42.63,12.456,56.712,503.952,0.0,,25.82216,27.543999999999997
2022-01-09 16:00:00+01:00,0.0,41.65,17.208000000000002,58.128,508.968,0.0,,26.74438,27.258
2022-01-09 17:00:00+01:00,0.0,41.65,18.744,58.512,511.824,0.0,,25.82216,26.554
2022-01-09 18:00:00+01:00,0.0,42.14,18.72,58.608000000000004,510.504,0.0,,25.82216,26.201999999999998
2022-01-09 19:00:00+01:00,0.0,41.16,18.744,58.584,511.2,0.0,,25.82216,25.223
2022-01-09 20:00:00+01:00,0.0,44.1,15.216000000000001,56.856,508.152,0.0,,23.97772,24.430999999999997
2022-01-09 21:00:00+01:00,0.0,43.61,8.904,56.472,495.12,0.0,,23.97772,23.551
2022-01-09 22:00:00+01:00,0.0,43.61,8.952,56.424,479.016,0.0,,23.97772,22.99
2022-01-09 23:00:00+01:00,0.0,43.61,8.040000000000001,56.184000000000005,453.144,0.0,,23.97772,23.407999999999998
2022-01-10 00:00:00+01:00,0.0,42.14,6.096,55.008,431.88,0.0,,23.97772,24.881999999999998
2022-01-10 01:00:00+01:00,0.0,42.14,5.832,55.152,389.784,0.0,,23.97772,25.651999999999997
2022-01-10 02:00:00+01:00,0.0,42.14,5.712,55.152,378.79200000000003,0.0,,23.97772,24.618
2022-01-10 03:00:00+01:00,0.0,42.14,6.12,55.368,385.296,0.0,,24.89994,23.287
2022-01-10 04:00:00+01:00,0.0,42.63,6.096,55.392,407.064,0.0,,23.97772,21.637
2022-01-10 05:00:00+01:00,0.0,42.14,6.5280000000000005,56.256,447.312,0.0,,23.97772,21.395
2022-01-10 06:00:00+01:00,0.0,42.63,15.768,58.32,480.048,0.0,,26.74438,20.965999999999998
2022-01-10 07:00:00+01:00,0.0,42.63,17.064,59.592,515.784,0.0,,27.666600000000003,21.054
2022-01-10 08:00:00+01:00,0.0,41.65,18.240000000000002,60.504,526.7040000000001,0.0,,23.055500000000002,20.823
2022-01-10 09:00:00+01:00,0.0,41.65,18.240000000000002,60.72,521.256,0.0,,23.97772,21.087
2022-01-10 10:00:00+01:00,0.0,41.16,16.968,60.72,516.6,0.0,,23.97772,22.682
2022-01-10 11:00:00+01:00,0.0,40.67,16.968,60.624,515.928,0.0,,23.055500000000002,24.947999999999997
2022-01-10 12:00:00+01:00,0.0,41.65,17.04,60.72,515.472,0.0,,23.055500000000002,26.796
2022-01-10 13:00:00+01:00,0.0,40.67,16.872,59.976,509.664,0.0,,23.055500000000002,26.334
2022-01-10 14:00:00+01:00,0.0,40.18,16.056,59.568,502.104,0.0,,22.13328,26.543
2022-01-10 15:00:00+01:00,0.0,40.18,15.864,60.24,501.312,0.0,,23.97772,28.599999999999998
2022-01-10 16:00:00+01:00,0.0,40.18,16.272000000000002,60.576,521.28,0.0,,22.13328,28.732
2022-01-10 17:00:00+01:00,0.0,40.67,16.368000000000002,60.480000000000004,520.6080000000001,0.0,,19.36662,30.008
2022-01-10 18:00:00+01:00,0.0,41.16,16.872,60.552,519.264,0.0,,18.4444,30.305
2022-01-10 19:00:00+01:00,0.0,40.18,15.0,59.616,509.616,0.0,,20.28884,30.569
2022-01-10 20:00:00+01:00,0.0,40.67,16.176000000000002,59.52,506.04,0.0,,19.36662,31.339
2022-01-10 21:00:00+01:00,0.0,41.16,15.888,59.784,508.752,0.0,,19.36662,31.008999999999997
2022-01-10 22:00:00+01:00,0.0,40.67,12.48,59.328,492.12,0.0,,19.36662,31.548
2022-01-10 23:00:00+01:00,0.0,40.67,9.120000000000001,58.632,456.672,0.0,,18.4444,32.384
2022-01-11 00:00:00+01:00,0.0,41.65,8.616,57.192,438.552,0.0,,19.36662,30.459
2022-01-11 01:00:00+01:00,0.0,40.18,8.304,56.976,414.76800000000003,0.0,,20.28884,29.721999999999998
2022-01-11 02:00:00+01:00,0.0,41.16,8.256,56.784,396.048,0.0,,22.13328,31.921999999999997
2022-01-11 03:00:00+01:00,0.0,41.65,8.208,56.976,385.488,0.0,,18.4444,35.607
2022-01-11 04:00:00+01:00,0.0,40.67,8.28,57.192,392.64,0.0,,19.36662,34.738
2022-01-11 05:00:00+01:00,0.0,40.18,10.776,57.216,425.184,0.0,,23.055500000000002,34.836999999999996
2022-01-11 06:00:00+01:00,0.0,41.16,15.0,59.112,450.0,0.0,,21.21106,34.738
2022-01-11 07:00:00+01:00,0.0,41.65,15.6,60.216,478.2,0.0,,17.522180000000002,34.528999999999996
2022-01-11 08:00:00+01:00,0.0,42.14,17.256,59.376000000000005,483.48,0.0,,15.67774,31.229
2022-01-11 09:00:00+01:00,0.0,39.69,17.376,60.168,485.016,0.0,,14.75552,25.948999999999998
2022-01-11 10:00:00+01:00,0.0,40.18,16.44,59.4,480.81600000000003,0.0,,15.67774,23.232
