,Fossil Gas,Hydro Pumped Storage,Hydro Water Reservoir,Nuclear,Solar,Wind Onshore
2015-07-01 00:00:00+02:00,0.0,304.0,911.0,370.0,0.0,1.0
2015-07-01 01:00:00+02:00,0.0,214.0,793.0,369.0,0.0,0.0
2015-07-01 02:00:00+02:00,0.0,46.0,715.0,369.0,0.0,1.0
2015-07-01 03:00:00+02:00,0.0,2.0,710.0,369.0,0.0,1.0
2015-07-01 04:00:00+02:00,0.0,0.0,683.0,369.0,0.0,1.0
2015-07-01 05:00:00+02:00,0.0,54.0,833.0,369.0,0.0,1.0
2015-07-01 06:00:00+02:00,0.0,398.0,1194.0,368.0,8.0,1.0
2015-07-01 07:00:00+02:00,0.0,866.0,2337.0,369.0,31.0,1.0
2015-07-01 08:00:00+02:00,0.0,863.0,2407.0,369.0,66.0,1.0
2015-07-01 09:00:00+02:00,0.0,758.0,2530.0,369.0,100.0,0.0
2015-07-01 10:00:00+02:00,0.0,684.0,2404.0,368.0,128.0,0.0
2015-07-01 11:00:00+02:00,0.0,652.0,2030.0,368.0,146.0,0.0
2015-07-01 12:00:00+02:00,0.0,658.0,1908.0,368.0,157.0,1.0
2015-07-01 13:00:00+02:00,0.0,595.0,1496.0,368.0,160.0,4.0
2015-07-01 14:00:00+02:00,0.0,582.0,1266.0,367.0,155.0,7.0
2015-07-01 15:00:00+02:00,0.0,282.0,1144.0,368.0,143.0,7.0
2015-07-01 16:00:00+02:00,0.0,661.0,1712.0,366.0,123.0,6.0
2015-07-01 17:00:00+02:00,0.0,786.0,2294.0,366.0,95.0,6.0
2015-07-01 18:00:00+02:00,0.0,848.0,2728.0,368.0,61.0,5.0
2015-07-01 19:00:00+02:00,0.0,931.0,2814.0,367.0,28.0,4.0
2015-07-01 20:00:00+02:00,0.0,913.0,2829.0,368.0,8.0,3.0
2015-07-01 21:00:00+02:00,0.0,839.0,2458.0,367.0,0.0,3.0
2015-07-01 22:00:00+02:00,0.0,602.0,2320.0,367.0,0.0,3.0
2015-07-01 23:00:00+02:00,0.0,414.0,1499.0,367.0,0.0,2.0
2015-07-02 00:00:00+02:00,0.0,193.0,1033.0,367.0,0.0,2.0
2015-07-02 01:00:00+02:00,0.0,59.0,1014.0,367.0,0.0,1.0
2015-07-02 02:00:00+02:00,0.0,39.0,992.0,367.0,0.0,0.0
2015-07-02 03:00:00+02:00,0.0,0.0,868.0,367.0,0.0,0.0
2015-07-02 04:00:00+02:00,0.0,0.0,820.0,367.0,0.0,0.0
2015-07-02 05:00:00+02:00,0.0,0.0,891.0,367.0,0.0,1.0
2015-07-02 06:00:00+02:00,0.0,400.0,1388.0,367.0,8.0,1.0
2015-07-02 07:00:00+02:00,0.0,854.0,2404.0,367.0,30.0,1.0
2015-07-02 08:00:00+02:00,0.0,910.0,2666.0,366.0,63.0,1.0
2015-07-02 09:00:00+02:00,0.0,735.0,2137.0,366.0,97.0,1.0
2015-07-02 10:00:00+02:00,0.0,588.0,1602.0,366.0,124.0,1.0
2015-07-02 11:00:00+02:00,0.0,766.0,2378.0,366.0,143.0,0.0
2015-07-02 12:00:00+02:00,0.0,622.0,2043.0,366.0,153.0,0.0
2015-07-02 13:00:00+02:00,0.0,617.0,1621.0,365.0,156.0,3.0
2015-07-02 14:00:00+02:00,0.0,638.0,1340.0,365.0,150.0,6.0
2015-07-02 15:00:00+02:00,0.0,628.0,1652.0,365.0,137.0,6.0
2015-07-02 16:00:00+02:00,0.0,668.0,1874.0,365.0,116.0,5.0
2015-07-02 17:00:00+02:00,0.0,786.0,2120.0,365.0,88.0,4.0
2015-07-02 18:00:00+02:00,0.0,815.0,2470.0,365.0,49.0,4.0
2015-07-02 19:00:00+02:00,0.0,871.0,2738.0,365.0,24.0,3.0
2015-07-02 20:00:00+02:00,0.0,818.0,2632.0,365.0,9.0,4.0
2015-07-02 21:00:00+02:00,0.0,721.0,2244.0,365.0,0.0,3.0
2015-07-02 22:00:00+02:00,0.0,694.0,1838.0,365.0,0.0,2.0
2015-07-02 23:00:00+02:00,0.0,363.0,1287.0,365.0,0.0,2.0
2015-07-03 00:00:00+02:00,0.0,161.0,1112.0,365.0,0.0,3.0
2015-07-03 01:00:00+02:00,0.0,197.0,1105.0,365.0,0.0,2.0
2015-07-03 02:00:00+02:00,0.0,82.0,1039.0,365.0,0.0,2.0
2015-07-03 03:00:00+02:00,0.0,226.0,1043.0,365.0,0.0,1.0
2015-07-03 04:00:00+02:00,0.0,206.0,1156.0,365.0,0.0,0.0
2015-07-03 05:00:00+02:00,0.0,354.0,1060.0,365.0,0.0,1.0
2015-07-03 06:00:00+02:00,0.0,804.0,2082.0,364.0,7.0,1.0
2015-07-03 07:00:00+02:00,0.0,869.0,2647.0,364.0,27.0,1.0
2015-07-03 08:00:00+02:00,0.0,859.0,2692.0,364.0,58.0,1.0
2015-07-03 09:00:00+02:00,0.0,844.0,2804.0,360.0,90.0,1.0
2015-07-03 10:00:00+02:00,0.0,827.0,2783.0,360.0,116.0,1.0
2015-07-03 11:00:00+02:00,0.0,820.0,2667.0,360.0,137.0,0.0
2015-07-03 12:00:00+02:00,0.0,808.0,2601.0,360.0,149.0,1.0
2015-07-03 13:00:00+02:00,0.0,781.0,2428.0,360.0,152.0,2.0
2015-07-03 14:00:00+02:00,0.0,722.0,2224.0,360.0,147.0,5.0
2015-07-03 15:00:00+02:00,0.0,783.0,2419.0,359.0,134.0,4.0
