,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Wind Onshore
2021-10-01 00:00:00+02:00,2.352,4.368,6.648000000000001,20.604,0.0,0.0
2021-10-01 01:00:00+02:00,2.064,4.032,7.008,20.628,0.0,0.0
2021-10-01 02:00:00+02:00,2.016,4.272,5.784,20.64,0.0,0.0
2021-10-01 03:00:00+02:00,2.208,3.936,6.456,20.664,0.0,0.0
2021-10-01 04:00:00+02:00,1.992,4.248,5.928,20.652,0.0,0.0
2021-10-01 05:00:00+02:00,2.2800000000000002,4.6080000000000005,8.856,20.664,0.0,0.0
2021-10-01 06:00:00+02:00,6.72,4.68,12.72,20.64,0.0,0.0
2021-10-01 07:00:00+02:00,20.64,6.888,28.824,20.64,0.041,0.0
2021-10-01 08:00:00+02:00,17.544,6.6240000000000006,39.336,20.652,3.608,0.0
2021-10-01 09:00:00+02:00,21.84,6.48,37.56,20.64,15.949,0.0
2021-10-01 10:00:00+02:00,15.6,5.304,15.648,20.616,30.914,0.0
2021-10-01 11:00:00+02:00,14.544,4.728,8.616,20.568,44.485,0.0
2021-10-01 12:00:00+02:00,4.272,4.752,6.648000000000001,20.532,52.521,0.0
2021-10-01 13:00:00+02:00,3.912,4.632,5.832,20.484,53.956,0.0
2021-10-01 14:00:00+02:00,4.5840000000000005,4.8,5.88,20.472,51.824000000000005,0.0
2021-10-01 15:00:00+02:00,4.992,4.824,7.464,20.448,46.002,0.0
2021-10-01 16:00:00+02:00,4.224,4.752,8.928,20.424,34.235,0.0
2021-10-01 17:00:00+02:00,7.368,5.304,14.184000000000001,20.424,17.056,0.0
2021-10-01 18:00:00+02:00,16.248,6.648000000000001,35.28,20.436,3.0340000000000003,0.0
2021-10-01 19:00:00+02:00,41.52,6.84,52.824,20.448,0.123,0.0
2021-10-01 20:00:00+02:00,24.336000000000002,6.864,27.144000000000002,20.472,0.0,0.0
2021-10-01 21:00:00+02:00,7.5840000000000005,5.304,13.824,20.484,0.0,0.0
2021-10-01 22:00:00+02:00,3.744,4.968,11.832,20.508,0.0,0.0
2021-10-01 23:00:00+02:00,7.296,4.848,11.568,20.52,0.0,0.0
2021-10-02 00:00:00+02:00,1.728,4.464,7.104,20.532,0.0,0.0
2021-10-02 01:00:00+02:00,1.344,4.416,6.888,20.532,0.0,0.0
2021-10-02 02:00:00+02:00,1.488,4.416,5.208,20.532,0.0,0.0
2021-10-02 03:00:00+02:00,1.8,4.344,5.424,20.568,0.0,0.0
2021-10-02 04:00:00+02:00,1.68,4.464,5.472,20.556,0.0,0.0
2021-10-02 05:00:00+02:00,1.968,4.5120000000000005,5.016,20.544,0.0,0.0
2021-10-02 06:00:00+02:00,2.448,4.5840000000000005,5.5920000000000005,20.544,0.0,0.0
2021-10-02 07:00:00+02:00,3.624,4.704,7.44,20.556,0.041,0.0
2021-10-02 08:00:00+02:00,3.84,4.632,11.52,20.556,2.255,0.0
2021-10-02 09:00:00+02:00,3.216,4.5120000000000005,9.048,20.544,10.496,0.0
2021-10-02 10:00:00+02:00,1.968,4.5600000000000005,6.768,20.52,27.429000000000002,0.0
2021-10-02 11:00:00+02:00,1.68,4.5360000000000005,4.248,20.484,42.148,0.0
2021-10-02 12:00:00+02:00,1.8,4.488,4.152,20.46,50.471000000000004,0.0
2021-10-02 13:00:00+02:00,1.968,4.464,4.92,20.448,49.528,0.0
2021-10-02 14:00:00+02:00,2.496,4.5600000000000005,4.344,20.424,47.355000000000004,0.0
2021-10-02 15:00:00+02:00,4.056,4.5360000000000005,4.968,20.400000000000002,37.31,0.0
2021-10-02 16:00:00+02:00,4.152,4.68,5.5440000000000005,20.388,31.939,0.0
2021-10-02 17:00:00+02:00,4.344,5.064,7.6080000000000005,20.376,19.229,0.0
2021-10-02 18:00:00+02:00,2.712,4.8,10.344,20.376,4.264,0.0
2021-10-02 19:00:00+02:00,2.952,4.752,12.288,20.400000000000002,0.164,0.0
2021-10-02 20:00:00+02:00,3.216,4.92,8.76,20.412,0.0,0.0
2021-10-02 21:00:00+02:00,2.976,4.872,6.096,20.436,0.0,0.0
2021-10-02 22:00:00+02:00,3.8160000000000003,4.752,6.192,20.472,0.0,0.0
2021-10-02 23:00:00+02:00,5.064,4.728,5.304,20.484,0.0,0.0
2021-10-03 00:00:00+02:00,0.384,4.44,6.0,20.484,0.0,0.0
2021-10-03 01:00:00+02:00,0.192,4.296,4.5840000000000005,20.496,0.0,0.0
2021-10-03 02:00:00+02:00,0.312,4.344,4.344,20.52,0.0,0.0
2021-10-03 03:00:00+02:00,0.24,4.32,3.96,20.532,0.0,0.0
2021-10-03 04:00:00+02:00,0.14400000000000002,4.344,3.936,20.52,0.0,0.0
2021-10-03 05:00:00+02:00,0.48,4.464,4.344,20.52,0.0,0.0
2021-10-03 06:00:00+02:00,1.1280000000000001,4.5600000000000005,4.368,20.508,0.0,0.0
2021-10-03 07:00:00+02:00,1.008,4.5360000000000005,4.224,20.532,0.0,0.0
2021-10-03 08:00:00+02:00,1.008,4.5600000000000005,4.296,20.52,2.0500000000000003,0.0
2021-10-03 09:00:00+02:00,0.888,4.5840000000000005,4.368,20.532,8.692,0.0
2021-10-03 10:00:00+02:00,0.984,4.704,4.44,20.496,13.530000000000001,0.0
2021-10-03 11:00:00+02:00,0.624,4.464,8.28,20.484,19.68,0.0
2021-10-03 12:00:00+02:00,0.96,4.6080000000000005,16.2,20.448,18.86,0.0
2021-10-03 13:00:00+02:00,1.248,4.5120000000000005,8.904,20.436,31.693,0.0
2021-10-03 14:00:00+02:00,1.728,4.6080000000000005,6.6240000000000006,20.424,14.596,0.0
2021-10-03 15:00:00+02:00,7.128,4.728,10.8,20.424,10.455,0.0
2021-10-03 16:00:00+02:00,6.672,4.752,12.120000000000001,20.424,6.601,0.0
2021-10-03 17:00:00+02:00,6.48,4.632,14.88,20.412,2.952,0.0
2021-10-03 18:00:00+02:00,3.432,4.656,13.464,20.424,0.984,0.0
2021-10-03 19:00:00+02:00,2.064,4.656,19.44,20.436,0.0,0.0
2021-10-03 20:00:00+02:00,2.16,4.944,25.824,20.472,0.0,0.0
2021-10-03 21:00:00+02:00,1.776,4.92,13.008000000000001,20.496,0.0,0.0
2021-10-03 22:00:00+02:00,1.2,4.896,9.48,20.532,0.0,0.0
2021-10-03 23:00:00+02:00,2.664,4.944,10.464,20.556,0.0,0.0
2021-10-04 00:00:00+02:00,1.1520000000000001,4.296,13.032,20.568,0.0,0.0
2021-10-04 01:00:00+02:00,1.92,4.368,12.576,20.556,0.0,0.0
2021-10-04 02:00:00+02:00,2.088,4.344,14.208,20.568,0.0,0.0
2021-10-04 03:00:00+02:00,2.112,4.152,13.752,20.568,0.0,0.0
2021-10-04 04:00:00+02:00,2.112,3.8160000000000003,15.672,20.568,0.0,0.0
2021-10-04 05:00:00+02:00,2.2560000000000002,4.5840000000000005,18.168,20.568,0.0,0.0
2021-10-04 06:00:00+02:00,3.0,5.064,22.944,20.544,0.0,0.0
2021-10-04 07:00:00+02:00,26.712,8.088000000000001,36.144,20.544,0.0,0.0
2021-10-04 08:00:00+02:00,40.464,7.968,51.456,20.568,0.615,0.0
2021-10-04 09:00:00+02:00,27.024,7.5120000000000005,51.024,20.532,2.501,0.0
2021-10-04 10:00:00+02:00,20.52,5.472,44.544000000000004,20.532,2.583,0.0
2021-10-04 11:00:00+02:00,13.944,5.136,29.904,20.532,6.355,0.0
2021-10-04 12:00:00+02:00,12.936,5.472,26.568,20.532,11.562000000000001,0.0
2021-10-04 13:00:00+02:00,9.864,5.736,23.28,20.532,15.047,0.0
2021-10-04 14:00:00+02:00,10.872,5.952,23.376,20.628,13.202,0.0
2021-10-04 15:00:00+02:00,12.936,6.096,22.248,20.616,10.783000000000001,0.0
2021-10-04 16:00:00+02:00,11.376,6.216,23.448,20.52,11.972000000000001,0.0
2021-10-04 17:00:00+02:00,21.384,6.96,35.544000000000004,20.508,8.774000000000001,0.0
2021-10-04 18:00:00+02:00,29.904,8.976,48.792,20.508,2.337,0.0
2021-10-04 19:00:00+02:00,44.76,9.024000000000001,58.896,20.508,0.0,0.0
2021-10-04 20:00:00+02:00,21.984,8.112,40.68,20.52,0.0,0.0
2021-10-04 21:00:00+02:00,14.664,7.704,19.104,20.52,0.0,0.0
2021-10-04 22:00:00+02:00,11.568,5.376,17.448,20.544,0.0,0.0
2021-10-04 23:00:00+02:00,2.568,5.808,14.904,20.556,0.0,0.0
2021-10-05 00:00:00+02:00,12.816,5.5680000000000005,14.88,20.556,0.0,0.0
2021-10-05 01:00:00+02:00,10.416,5.472,14.616,20.556,0.0,0.0
2021-10-05 02:00:00+02:00,10.56,5.5200000000000005,14.784,20.556,0.0,0.0
2021-10-05 03:00:00+02:00,10.992,5.184,17.112000000000002,20.568,0.0,0.0
2021-10-05 04:00:00+02:00,11.952,5.256,21.048000000000002,20.556,0.0,0.0
2021-10-05 05:00:00+02:00,11.808,4.896,21.192,20.556,0.0,0.0
2021-10-05 06:00:00+02:00,13.872,5.088,27.624000000000002,20.544,0.0,0.0
2021-10-05 07:00:00+02:00,17.736,5.184,39.384,20.532,0.0,0.0
2021-10-05 08:00:00+02:00,40.248,7.5600000000000005,48.768,20.532,0.328,0.0
2021-10-05 09:00:00+02:00,31.152,8.016,47.256,20.568,6.478000000000001,0.0
2021-10-05 10:00:00+02:00,29.712,5.472,37.632,20.580000000000002,9.307,0.0
2021-10-05 11:00:00+02:00,23.76,5.184,31.968,20.544,6.478000000000001,0.0
2021-10-05 12:00:00+02:00,18.12,5.256,24.72,20.532,26.322000000000003,0.0
2021-10-05 13:00:00+02:00,13.776,5.76,23.784,20.508,39.319,0.0
2021-10-05 14:00:00+02:00,11.448,5.76,22.824,20.508,38.581,0.0
2021-10-05 15:00:00+02:00,11.064,5.832,22.152,20.496,19.393,0.0
2021-10-05 16:00:00+02:00,11.712,6.024,22.824,20.52,9.799000000000001,0.0
2021-10-05 17:00:00+02:00,14.904,6.456,27.072,20.52,9.84,0.0
2021-10-05 18:00:00+02:00,26.616,8.304,41.328,20.532,3.362,0.0
2021-10-05 19:00:00+02:00,34.344,8.064,48.120000000000005,20.532,0.0,0.0
2021-10-05 20:00:00+02:00,17.664,6.096,34.68,20.532,0.0,0.0
2021-10-05 21:00:00+02:00,11.040000000000001,5.736,17.112000000000002,20.544,0.0,0.0
2021-10-05 22:00:00+02:00,10.56,5.6160000000000005,18.696,20.580000000000002,0.0,0.0
2021-10-05 23:00:00+02:00,10.128,5.736,17.448,20.592,0.0,0.0
2021-10-06 00:00:00+02:00,7.5600000000000005,5.712,12.624,20.592,0.0,0.0
2021-10-06 01:00:00+02:00,6.864,5.016,12.816,20.580000000000002,0.0,0.0
2021-10-06 02:00:00+02:00,5.904,5.016,12.336,20.592,0.0,0.0
2021-10-06 03:00:00+02:00,5.088,5.016,12.216000000000001,20.592,0.0,0.0
2021-10-06 04:00:00+02:00,5.472,5.28,11.952,20.604,0.0,0.0
2021-10-06 05:00:00+02:00,6.312,5.5440000000000005,12.192,20.604,0.0,0.0
2021-10-06 06:00:00+02:00,7.128,6.072,15.048,20.604,0.0,0.0
2021-10-06 07:00:00+02:00,18.072,8.76,36.648,20.580000000000002,0.0,0.0
2021-10-06 08:00:00+02:00,37.632,5.472,57.96,20.604,1.3940000000000001,0.0
2021-10-06 09:00:00+02:00,35.64,6.408,49.536,20.592,7.093,0.0
2021-10-06 10:00:00+02:00,25.128,5.424,31.656000000000002,20.592,12.71,0.0
2021-10-06 11:00:00+02:00,19.296,4.896,25.464000000000002,20.592,44.608000000000004,0.0
2021-10-06 12:00:00+02:00,13.872,5.088,21.576,20.592,21.935000000000002,0.0
2021-10-06 13:00:00+02:00,10.008000000000001,4.848,21.096,20.580000000000002,28.823,0.0
2021-10-06 14:00:00+02:00,7.776,5.184,23.688,20.604,22.222,0.0
2021-10-06 15:00:00+02:00,14.208,5.376,25.44,20.592,19.721,0.0
2021-10-06 16:00:00+02:00,15.984,5.376,37.368,20.592,15.662,0.0
2021-10-06 17:00:00+02:00,41.28,6.0,46.992000000000004,20.616,10.373000000000001,0.0
2021-10-06 18:00:00+02:00,54.168,8.208,55.656,20.580000000000002,1.558,0.0
2021-10-06 19:00:00+02:00,54.336,8.232,73.872,20.592,0.0,0.0
2021-10-06 20:00:00+02:00,35.304,5.88,50.808,20.592,0.0,0.0
2021-10-06 21:00:00+02:00,24.528000000000002,5.6160000000000005,39.576,20.604,0.0,0.0
2021-10-06 22:00:00+02:00,15.096,5.808,27.024,20.616,0.0,0.0
2021-10-06 23:00:00+02:00,8.088000000000001,5.6160000000000005,14.592,20.616,0.0,0.0
2021-10-07 00:00:00+02:00,2.616,5.376,12.384,20.604,0.0,0.0
2021-10-07 01:00:00+02:00,2.424,5.232,11.616,20.616,0.0,0.0
2021-10-07 02:00:00+02:00,1.92,5.088,11.376,20.616,0.0,0.0
2021-10-07 03:00:00+02:00,1.8,5.112,11.784,20.628,0.0,0.0
2021-10-07 04:00:00+02:00,2.328,5.232,13.872,20.628,0.0,0.0
2021-10-07 05:00:00+02:00,10.032,5.328,21.984,20.616,0.0,0.0
2021-10-07 06:00:00+02:00,34.248,5.784,48.024,20.604,0.0,0.0
2021-10-07 07:00:00+02:00,48.408,8.376,69.696,20.592,0.0,0.0
2021-10-07 08:00:00+02:00,59.664,8.688,73.488,20.592,2.7470000000000003,0.0
2021-10-07 09:00:00+02:00,58.008,7.5600000000000005,70.296,20.628,13.407,0.0
2021-10-07 10:00:00+02:00,41.208,7.6080000000000005,66.336,20.628,28.290000000000003,0.0
2021-10-07 11:00:00+02:00,31.896,7.176,45.72,20.628,38.458,0.0
2021-10-07 12:00:00+02:00,25.224,6.096,35.784,20.628,28.126,0.0
2021-10-07 13:00:00+02:00,17.472,5.736,30.312,20.580000000000002,32.308,0.0
2021-10-07 14:00:00+02:00,7.704,5.184,25.032,20.604,38.704,0.0
2021-10-07 15:00:00+02:00,3.456,4.872,23.496000000000002,20.604,24.354000000000003,0.0
2021-10-07 16:00:00+02:00,14.136000000000001,7.32,29.232,20.604,21.935000000000002,0.0
2021-10-07 17:00:00+02:00,23.64,8.232,52.08,20.604,9.635,0.0
2021-10-07 18:00:00+02:00,38.832,7.92,53.64,20.604,3.157,0.0
2021-10-07 19:00:00+02:00,47.28,8.064,63.072,20.604,0.041,0.0
2021-10-07 20:00:00+02:00,41.928000000000004,7.872,43.776,20.616,0.0,0.0
2021-10-07 21:00:00+02:00,28.272000000000002,7.848,34.032000000000004,20.628,0.0,0.0
2021-10-07 22:00:00+02:00,28.464000000000002,6.816,23.904,20.628,0.0,0.0
2021-10-07 23:00:00+02:00,8.544,6.072,14.304,20.652,0.0,0.0
2021-10-08 00:00:00+02:00,1.248,4.848,9.288,20.64,0.0,0.0
2021-10-08 01:00:00+02:00,0.84,4.776,7.464,20.652,0.0,0.0
2021-10-08 02:00:00+02:00,0.48,5.112,7.272,20.652,0.0,0.0
2021-10-08 03:00:00+02:00,0.48,5.016,6.456,20.664,0.0,0.0
2021-10-08 04:00:00+02:00,0.84,4.872,7.5120000000000005,20.652,0.0,0.0
2021-10-08 05:00:00+02:00,2.3040000000000003,4.824,9.72,20.652,0.0,0.0
2021-10-08 06:00:00+02:00,18.84,6.096,33.36,20.628,0.0,0.0
2021-10-08 07:00:00+02:00,39.072,8.328,67.752,20.628,0.0,0.0
2021-10-08 08:00:00+02:00,61.704,7.944,70.392,20.724,0.451,0.0
2021-10-08 09:00:00+02:00,45.168,8.448,58.776,20.724,1.7630000000000001,0.0
2021-10-08 10:00:00+02:00,43.056,8.088000000000001,44.4,20.712,4.428,0.0
2021-10-08 11:00:00+02:00,18.672,8.112,29.328,20.64,7.79,0.0
2021-10-08 12:00:00+02:00,4.6080000000000005,5.208,19.152,20.616,28.208000000000002,0.0
2021-10-08 13:00:00+02:00,2.616,5.16,12.696,20.604,49.405,0.0
2021-10-08 14:00:00+02:00,2.7600000000000002,5.112,14.328000000000001,20.592,50.676,0.0
2021-10-08 15:00:00+02:00,3.3120000000000003,4.992,11.976,20.568,21.074,0.0
2021-10-08 16:00:00+02:00,6.288,6.192,16.032,20.568,15.908000000000001,0.0
2021-10-08 17:00:00+02:00,28.752,8.616,23.952,20.568,6.15,0.0
2021-10-08 18:00:00+02:00,45.480000000000004,8.232,46.44,20.568,1.5170000000000001,0.0
2021-10-08 19:00:00+02:00,51.648,7.944,54.984,20.580000000000002,0.0,0.0
2021-10-08 20:00:00+02:00,27.192,8.28,35.832,20.592,0.0,0.0
2021-10-08 21:00:00+02:00,4.152,5.928,14.112,20.592,0.0,0.0
2021-10-08 22:00:00+02:00,2.088,5.04,12.912,20.616,0.0,0.0
2021-10-08 23:00:00+02:00,2.2560000000000002,4.872,9.264,20.628,0.0,0.0
2021-10-09 00:00:00+02:00,1.488,4.32,7.5120000000000005,20.64,0.0,0.0
2021-10-09 01:00:00+02:00,1.296,4.464,6.5280000000000005,20.652,0.0,0.0
2021-10-09 02:00:00+02:00,1.248,4.752,5.904,20.652,0.0,0.0
2021-10-09 03:00:00+02:00,0.5760000000000001,4.68,5.304,20.652,0.0,0.0
2021-10-09 04:00:00+02:00,0.912,4.5120000000000005,5.6160000000000005,20.676000000000002,0.0,0.0
2021-10-09 05:00:00+02:00,0.936,4.5840000000000005,5.856,20.676000000000002,0.0,0.0
2021-10-09 06:00:00+02:00,1.6320000000000001,4.776,7.872,20.664,0.0,0.0
2021-10-09 07:00:00+02:00,9.792,4.6080000000000005,13.44,20.664,0.0,0.0
2021-10-09 08:00:00+02:00,12.984,4.752,13.944,20.676000000000002,0.738,0.0
2021-10-09 09:00:00+02:00,15.072000000000001,4.848,15.216000000000001,20.676000000000002,2.9930000000000003,0.0
2021-10-09 10:00:00+02:00,3.216,4.704,12.288,20.664,6.478000000000001,0.0
2021-10-09 11:00:00+02:00,1.848,4.632,10.488,20.664,13.120000000000001,0.0
2021-10-09 12:00:00+02:00,1.848,4.752,10.272,20.664,18.696,0.0
2021-10-09 13:00:00+02:00,1.536,4.704,6.48,20.664,23.534000000000002,0.0
2021-10-09 14:00:00+02:00,0.72,4.5600000000000005,6.672,20.652,26.117,0.0
2021-10-09 15:00:00+02:00,1.368,4.632,7.5360000000000005,20.628,19.967000000000002,0.0
2021-10-09 16:00:00+02:00,1.464,4.5840000000000005,9.288,20.616,20.09,0.0
2021-10-09 17:00:00+02:00,6.312,4.704,11.448,20.616,17.097,0.0
2021-10-09 18:00:00+02:00,36.576,5.016,28.824,20.616,4.3870000000000005,0.0
2021-10-09 19:00:00+02:00,41.208,4.6080000000000005,40.56,20.604,0.0,0.0
