,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Wind Onshore
2020-01-01 00:00:00+01:00,279.0,2545.0,51.0,1212.0,6609.0,220.0,0.0,161.0,0.0,2697.0
2020-01-01 01:00:00+01:00,253.0,2206.0,52.0,1212.0,6609.0,220.0,0.0,161.0,0.0,2503.0
2020-01-01 02:00:00+01:00,248.0,2117.0,52.0,1191.0,6550.0,220.0,0.0,161.0,0.0,2500.0
2020-01-01 03:00:00+01:00,250.0,1965.0,52.0,1176.0,6401.0,220.0,0.0,160.0,0.0,2396.0
2020-01-01 04:00:00+01:00,255.0,1997.0,52.0,1184.0,6259.0,220.0,0.0,159.0,0.0,2305.0
2020-01-01 05:00:00+01:00,262.0,2000.0,52.0,1184.0,6264.0,220.0,0.0,159.0,0.0,2337.0
2020-01-01 06:00:00+01:00,263.0,2014.0,53.0,1193.0,6278.0,221.0,0.0,159.0,0.0,2335.0
2020-01-01 07:00:00+01:00,262.0,2075.0,52.0,1213.0,6366.0,221.0,0.0,160.0,0.0,2168.0
2020-01-01 08:00:00+01:00,263.0,2016.0,52.0,1183.0,6252.0,222.0,0.0,166.0,0.0,2209.0
2020-01-01 09:00:00+01:00,262.0,2046.0,52.0,1206.0,6395.0,223.0,0.0,167.0,0.0,2337.0
2020-01-01 10:00:00+01:00,263.0,2082.0,52.0,1232.0,6349.0,223.0,0.0,171.0,0.0,2489.0
2020-01-01 11:00:00+01:00,263.0,2053.0,52.0,1224.0,6362.0,223.0,0.0,172.0,0.0,2721.0
2020-01-01 12:00:00+01:00,262.0,2024.0,52.0,1209.0,6336.0,222.0,0.0,161.0,0.0,2867.0
2020-01-01 13:00:00+01:00,260.0,2160.0,52.0,1242.0,6454.0,222.0,0.0,156.0,0.0,2947.0
2020-01-01 14:00:00+01:00,263.0,2130.0,53.0,1243.0,6523.0,223.0,142.0,160.0,0.0,2898.0
2020-01-01 15:00:00+01:00,261.0,2022.0,52.0,1237.0,6355.0,222.0,68.0,162.0,0.0,2856.0
2020-01-01 16:00:00+01:00,261.0,2352.0,53.0,1281.0,6657.0,222.0,276.0,178.0,0.0,2923.0
2020-01-01 17:00:00+01:00,261.0,3006.0,52.0,1316.0,6711.0,222.0,402.0,190.0,50.0,3108.0
2020-01-01 18:00:00+01:00,261.0,3093.0,53.0,1235.0,6800.0,222.0,360.0,193.0,58.0,3161.0
2020-01-01 19:00:00+01:00,261.0,3201.0,53.0,1265.0,6948.0,222.0,317.0,195.0,58.0,2990.0
2020-01-01 20:00:00+01:00,261.0,3042.0,52.0,1262.0,6895.0,222.0,204.0,180.0,7.0,2789.0
2020-01-01 21:00:00+01:00,261.0,2777.0,52.0,1277.0,6857.0,222.0,37.0,158.0,0.0,2641.0
